datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TSCO	9.63	9.70	9.57	9.62	764108.00
2004-04-08 15:30:00	:TSCO	9.73	9.73	9.52	9.53	1164636.00
2004-04-12 15:30:00	:TSCO	9.51	9.75	9.50	9.71	1538612.00
2004-04-13 15:30:00	:TSCO	10.23	10.23	9.81	9.97	3675916.00
2004-04-14 15:30:00	:TSCO	9.89	10.04	9.82	9.83	1579232.00
2004-04-15 15:30:00	:TSCO	9.82	9.97	9.79	9.82	874544.00
2004-04-16 15:30:00	:TSCO	9.76	10.11	9.53	10.10	2849324.00
2004-04-19 15:30:00	:TSCO	10.04	10.15	9.93	10.14	1105376.00
2004-04-20 15:30:00	:TSCO	10.15	10.42	10.09	10.26	2049788.00
2004-04-21 15:30:00	:TSCO	10.33	10.36	10.19	10.36	881296.00
2004-04-22 15:30:00	:TSCO	10.38	10.71	10.29	10.69	1509008.00
2004-04-23 15:30:00	:TSCO	10.74	10.74	10.47	10.61	773068.00
2004-04-26 15:30:00	:TSCO	10.64	10.69	10.34	10.36	653372.00
2004-04-27 15:30:00	:TSCO	10.35	10.43	10.26	10.42	1117208.00
2004-04-28 15:30:00	:TSCO	10.34	10.46	10.13	10.23	942080.00
2004-04-29 15:30:00	:TSCO	10.29	10.30	9.89	9.90	1102976.00
2004-04-30 15:30:00	:TSCO	9.89	9.94	9.71	9.74	1982556.00
2004-05-03 15:30:00	:TSCO	9.78	9.85	9.41	9.51	2766836.00
2004-05-04 15:30:00	:TSCO	9.56	9.84	9.51	9.79	1427992.00
2004-05-05 15:30:00	:TSCO	9.86	10.00	9.82	9.84	1060292.00
2004-05-06 15:30:00	:TSCO	9.79	9.82	9.43	9.63	1393360.00
2004-05-07 15:30:00	:TSCO	9.52	9.77	9.01	9.03	2560416.00
2004-05-10 15:30:00	:TSCO	8.99	8.99	8.35	8.64	3495380.00
2004-05-11 15:30:00	:TSCO	8.79	9.22	8.79	9.11	2426528.00
2004-05-12 15:30:00	:TSCO	9.12	9.12	8.69	8.99	2027364.00
2004-05-13 15:30:00	:TSCO	8.99	9.21	8.78	9.05	1774388.00
2004-05-14 15:30:00	:TSCO	9.07	9.17	8.85	8.95	1156608.00
2004-05-17 15:30:00	:TSCO	8.85	8.89	8.56	8.78	1791040.00
