datetime	symbol	open	high	low	close	volume
2010-06-29 15:30:00	:TSLA	1.27	1.67	1.17	1.59	281749481.00
2010-06-30 15:30:00	:TSLA	1.72	2.03	1.55	1.59	257916257.00
2010-07-01 15:30:00	:TSLA	1.67	1.73	1.35	1.46	123448068.00
2010-07-02 15:30:00	:TSLA	1.53	1.54	1.25	1.28	77127212.00
2010-07-06 15:30:00	:TSLA	1.33	1.33	1.06	1.07	103189558.00
2010-07-07 15:30:00	:TSLA	1.09	1.11	1.00	1.05	103873813.00
2010-07-08 15:30:00	:TSLA	1.08	1.17	1.04	1.16	115793200.00
2010-07-09 15:30:00	:TSLA	1.17	1.19	1.10	1.16	60879150.00
2010-07-12 15:30:00	:TSLA	1.20	1.20	1.13	1.14	33053583.00
2010-07-13 15:30:00	:TSLA	1.16	1.24	1.13	1.21	40200940.00
2010-07-14 15:30:00	:TSLA	1.20	1.34	1.18	1.32	62941697.00
2010-07-15 15:30:00	:TSLA	1.33	1.43	1.27	1.33	56179511.00
2010-07-16 15:30:00	:TSLA	1.38	1.42	1.34	1.38	39318189.00
2010-07-19 15:30:00	:TSLA	1.42	1.48	1.39	1.46	37297372.00
2010-07-20 15:30:00	:TSLA	1.46	1.46	1.34	1.35	27378492.00
2010-07-21 15:30:00	:TSLA	1.38	1.39	1.30	1.35	18801648.00
2010-07-22 15:30:00	:TSLA	1.37	1.42	1.36	1.40	14435189.00
2010-07-23 15:30:00	:TSLA	1.41	1.44	1.40	1.42	9810744.00
2010-07-26 15:30:00	:TSLA	1.43	1.43	1.35	1.40	13836808.00
2010-07-27 15:30:00	:TSLA	1.39	1.41	1.35	1.37	9295134.00
2010-07-28 15:30:00	:TSLA	1.37	1.39	1.37	1.38	7007752.00
2010-07-29 15:30:00	:TSLA	1.38	1.39	1.33	1.36	9238659.00
2010-07-30 15:30:00	:TSLA	1.35	1.36	1.30	1.33	6402456.00
2010-08-02 15:30:00	:TSLA	1.37	1.40	1.36	1.39	10787185.00
2010-08-03 15:30:00	:TSLA	1.40	1.46	1.39	1.46	18465363.00
2010-08-04 15:30:00	:TSLA	1.46	1.48	1.39	1.42	13811353.00
2010-08-05 15:30:00	:TSLA	1.44	1.44	1.34	1.36	11945711.00
2010-08-06 15:30:00	:TSLA	1.34	1.34	1.30	1.31	11132081.00
2010-08-09 15:30:00	:TSLA	1.33	1.33	1.30	1.31	12189852.00
2010-08-10 15:30:00	:TSLA	1.31	1.31	1.25	1.27	19219309.00
2010-08-11 15:30:00	:TSLA	1.25	1.26	1.19	1.19	11964761.00
2010-08-12 15:30:00	:TSLA	1.19	1.19	1.16	1.17	10369225.00
2010-08-13 15:30:00	:TSLA	1.21	1.23	1.18	1.22	9517704.00
2010-08-16 15:30:00	:TSLA	1.23	1.25	1.22	1.25	7293172.00
2010-08-17 15:30:00	:TSLA	1.26	1.29	1.25	1.28	6718221.00
2010-08-18 15:30:00	:TSLA	1.31	1.31	1.24	1.25	9019989.00
2010-08-19 15:30:00	:TSLA	1.24	1.28	1.22	1.25	8686238.00
2010-08-20 15:30:00	:TSLA	1.24	1.27	1.23	1.27	4462489.00
2010-08-23 15:30:00	:TSLA	1.27	1.36	1.27	1.34	16320451.00
2010-08-24 15:30:00	:TSLA	1.28	1.31	1.26	1.28	10096120.00
2010-08-25 15:30:00	:TSLA	1.28	1.33	1.24	1.33	7549342.00
2010-08-26 15:30:00	:TSLA	1.33	1.35	1.31	1.32	6506046.00
2010-08-27 15:30:00	:TSLA	1.32	1.32	1.30	1.31	5694635.00
2010-08-30 15:30:00	:TSLA	1.31	1.35	1.31	1.32	10990975.00
2010-08-31 15:30:00	:TSLA	1.31	1.32	1.29	1.30	3015183.00
2010-09-01 15:30:00	:TSLA	1.31	1.38	1.31	1.36	7435282.00
2010-09-02 15:30:00	:TSLA	1.36	1.42	1.35	1.40	7305907.00
2010-09-03 15:30:00	:TSLA	1.39	1.42	1.38	1.40	6521346.00
2010-09-07 15:30:00	:TSLA	1.37	1.40	1.37	1.37	3650028.00
2010-09-08 15:30:00	:TSLA	1.38	1.40	1.37	1.39	4325734.00
2010-09-09 15:30:00	:TSLA	1.40	1.40	1.38	1.38	5642960.00
2010-09-10 15:30:00	:TSLA	1.38	1.40	1.32	1.34	5798570.00
2010-09-13 15:30:00	:TSLA	1.39	1.39	1.37	1.38	5410550.00
