datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TSN	18.50	18.51	18.36	18.41	1217500.00
2004-04-08 15:30:00	:TSN	18.41	18.49	18.32	18.39	956100.00
2004-04-12 15:30:00	:TSN	18.31	18.40	18.18	18.22	679800.00
2004-04-13 15:30:00	:TSN	18.22	18.43	18.07	18.11	939000.00
2004-04-14 15:30:00	:TSN	18.13	18.40	18.08	18.32	902100.00
2004-04-15 15:30:00	:TSN	18.40	18.69	18.38	18.50	1789400.00
2004-04-16 15:30:00	:TSN	18.50	18.89	18.50	18.86	1174500.00
2004-04-19 15:30:00	:TSN	18.83	18.88	18.69	18.84	1407900.00
2004-04-20 15:30:00	:TSN	18.78	18.83	18.70	18.72	1648700.00
2004-04-21 15:30:00	:TSN	18.72	19.12	18.69	19.12	1060200.00
2004-04-22 15:30:00	:TSN	19.00	19.32	18.86	19.20	2035100.00
2004-04-23 15:30:00	:TSN	19.05	19.61	19.00	19.10	1883000.00
2004-04-26 15:30:00	:TSN	19.21	19.29	18.15	18.64	3289200.00
2004-04-27 15:30:00	:TSN	18.54	18.71	18.47	18.55	1776300.00
2004-04-28 15:30:00	:TSN	18.62	19.00	18.56	18.86	2149100.00
2004-04-29 15:30:00	:TSN	18.86	19.18	18.73	18.73	1628400.00
2004-04-30 15:30:00	:TSN	18.63	18.96	18.60	18.74	1548300.00
2004-05-03 15:30:00	:TSN	18.72	19.25	18.72	19.25	1485000.00
2004-05-04 15:30:00	:TSN	19.05	19.20	18.91	18.99	1319300.00
2004-05-05 15:30:00	:TSN	18.95	19.00	18.81	18.86	1034000.00
2004-05-06 15:30:00	:TSN	18.70	19.24	18.68	19.13	1248300.00
2004-05-07 15:30:00	:TSN	19.00	19.74	19.00	19.67	2662000.00
2004-05-10 15:30:00	:TSN	19.60	19.97	19.54	19.61	2920900.00
2004-05-11 15:30:00	:TSN	19.20	19.74	19.12	19.70	1609800.00
2004-05-12 15:30:00	:TSN	19.60	19.90	19.50	19.88	1874500.00
2004-05-13 15:30:00	:TSN	19.70	19.81	19.31	19.40	1514700.00
2004-05-14 15:30:00	:TSN	19.25	19.62	19.22	19.58	1340900.00
2004-05-17 15:30:00	:TSN	19.18	19.62	19.12	19.25	1575900.00
2004-05-18 15:30:00	:TSN	19.05	19.24	18.82	19.12	1681800.00
2004-05-19 15:30:00	:TSN	19.15	19.26	18.72	18.76	2361600.00
2004-05-20 15:30:00	:TSN	18.65	19.04	18.65	18.98	1481200.00
2004-05-21 15:30:00	:TSN	18.88	19.11	18.84	19.03	2070400.00
2004-05-24 15:30:00	:TSN	19.04	19.28	18.92	19.12	1359600.00
2004-05-25 15:30:00	:TSN	19.05	19.68	19.03	19.61	1393900.00
2004-05-26 15:30:00	:TSN	19.50	19.95	19.50	19.89	1526900.00
2004-05-27 15:30:00	:TSN	19.75	20.62	19.75	20.49	3124300.00
2004-05-28 15:30:00	:TSN	20.25	20.61	20.15	20.52	3867400.00
2004-06-01 15:30:00	:TSN	20.28	20.46	20.17	20.33	1361800.00
2004-06-02 15:30:00	:TSN	20.39	20.63	20.38	20.43	1816800.00
2004-06-03 15:30:00	:TSN	20.31	20.77	20.30	20.60	2196900.00
2004-06-04 15:30:00	:TSN	20.56	20.70	20.31	20.35	1368100.00
2004-06-07 15:30:00	:TSN	20.23	20.86	20.23	20.81	2006000.00
2004-06-08 15:30:00	:TSN	20.65	20.80	20.50	20.50	1459600.00
2004-06-09 15:30:00	:TSN	20.36	20.66	20.35	20.47	2179700.00
2004-06-10 15:30:00	:TSN	20.57	20.62	20.43	20.50	1512000.00
2004-06-14 15:30:00	:TSN	20.40	20.48	20.00	20.07	1259100.00
2004-06-15 15:30:00	:TSN	20.05	20.61	20.05	20.53	1508000.00
2004-06-16 15:30:00	:TSN	20.39	20.52	20.16	20.42	693300.00
2004-06-17 15:30:00	:TSN	20.42	20.55	20.30	20.40	1265000.00
2004-06-18 15:30:00	:TSN	20.30	20.35	19.82	19.82	2286500.00
2004-06-21 15:30:00	:TSN	19.70	20.31	19.68	20.14	1423800.00
2004-06-22 15:30:00	:TSN	20.00	20.55	20.00	20.51	1246900.00
2004-06-23 15:30:00	:TSN	20.28	20.58	20.28	20.44	1689800.00
2004-06-24 15:30:00	:TSN	20.20	20.98	20.20	20.72	1188600.00
2004-06-25 15:30:00	:TSN	20.45	20.89	20.45	20.65	1138600.00
2004-06-28 15:30:00	:TSN	20.66	20.88	20.46	20.51	1156400.00
2004-06-29 15:30:00	:TSN	20.40	20.44	20.25	20.42	1348600.00
2004-06-30 15:30:00	:TSN	20.30	20.95	20.30	20.95	2183400.00
2004-07-01 15:30:00	:TSN	21.08	21.10	20.91	21.04	1205100.00
2004-07-02 15:30:00	:TSN	21.05	21.13	20.88	20.99	1169100.00
2004-07-06 15:30:00	:TSN	21.04	21.28	20.84	20.85	1187600.00
2004-07-07 15:30:00	:TSN	21.00	21.08	20.90	20.99	1037300.00
2004-07-08 15:30:00	:TSN	20.99	21.05	20.90	21.03	1015400.00
2004-07-09 15:30:00	:TSN	21.00	21.05	20.77	20.86	533100.00
2004-07-12 15:30:00	:TSN	20.90	20.90	20.65	20.74	717400.00
2004-07-13 15:30:00	:TSN	20.74	20.95	20.57	20.60	1514000.00
2004-07-14 15:30:00	:TSN	20.60	20.94	20.55	20.79	1256400.00
2004-07-15 15:30:00	:TSN	20.90	21.08	20.77	21.06	1293900.00
2004-07-16 15:30:00	:TSN	21.09	21.10	20.62	20.64	717500.00
2004-07-19 15:30:00	:TSN	20.85	20.93	20.49	20.63	755300.00
2004-07-20 15:30:00	:TSN	20.76	20.95	20.65	20.90	631400.00
2004-07-21 15:30:00	:TSN	20.90	20.92	20.43	20.43	737100.00
2004-07-22 15:30:00	:TSN	20.43	20.49	19.87	20.03	1385700.00
2004-07-23 15:30:00	:TSN	20.05	20.12	19.73	19.95	1219700.00
2004-07-26 15:30:00	:TSN	19.95	19.96	18.04	18.48	4665602.00
2004-07-27 15:30:00	:TSN	18.73	19.14	18.63	18.97	1929800.00
2004-07-28 15:30:00	:TSN	19.08	19.15	18.55	18.85	870300.00
2004-07-29 15:30:00	:TSN	18.75	18.76	18.25	18.73	1463100.00
2004-07-30 15:30:00	:TSN	18.60	19.10	18.53	19.06	1323000.00
2004-08-02 15:30:00	:TSN	19.13	19.49	18.93	19.41	1393000.00
2004-08-03 15:30:00	:TSN	19.30	19.39	19.05	19.15	664300.00
2004-08-04 15:30:00	:TSN	19.15	19.49	18.76	19.28	2069500.00
2004-08-05 15:30:00	:TSN	19.30	19.30	18.88	18.94	1077600.00
2004-08-06 15:30:00	:TSN	18.94	18.94	18.26	18.40	1439800.00
2004-08-09 15:30:00	:TSN	18.15	18.18	17.90	18.09	1632900.00
2004-08-10 15:30:00	:TSN	18.19	18.50	18.19	18.33	1336300.00
2004-08-11 15:30:00	:TSN	18.34	18.68	18.09	18.63	1017100.00
2004-08-12 15:30:00	:TSN	18.68	18.68	18.26	18.47	783600.00
2004-08-13 15:30:00	:TSN	18.67	18.77	18.51	18.59	489200.00
2004-08-16 15:30:00	:TSN	18.55	18.94	18.51	18.70	528600.00
2004-08-17 15:30:00	:TSN	18.70	18.76	18.50	18.51	545900.00
2004-08-18 15:30:00	:TSN	18.50	18.73	18.46	18.71	1355600.00
2004-08-19 15:30:00	:TSN	18.71	18.99	18.49	18.96	1087900.00
2004-08-20 15:30:00	:TSN	18.90	19.36	18.85	19.32	823100.00
2004-08-23 15:30:00	:TSN	19.31	19.50	19.25	19.48	958000.00
2004-08-24 15:30:00	:TSN	19.47	19.48	18.25	18.49	3169500.00
2004-08-25 15:30:00	:TSN	17.99	18.30	17.75	18.23	2547500.00
2004-08-26 15:30:00	:TSN	18.20	18.20	17.78	17.86	1441700.00
2004-08-27 15:30:00	:TSN	17.87	17.96	17.65	17.77	1742400.00
2004-08-30 15:30:00	:TSN	16.00	16.50	15.94	16.26	6636699.00
2004-08-31 15:30:00	:TSN	16.25	16.54	15.99	16.48	2607000.00
2004-09-01 15:30:00	:TSN	16.21	16.55	16.10	16.48	1701700.00
2004-09-02 15:30:00	:TSN	16.55	16.79	16.44	16.76	1356100.00
2004-09-03 15:30:00	:TSN	16.70	16.90	16.46	16.76	1649700.00
2004-09-07 15:30:00	:TSN	16.60	16.99	16.57	16.99	1406500.00
2004-09-08 15:30:00	:TSN	16.98	16.98	16.54	16.58	1865600.00
2004-09-09 15:30:00	:TSN	16.59	16.88	16.50	16.77	1616100.00
2004-09-10 15:30:00	:TSN	16.77	16.82	16.58	16.78	906800.00
2004-09-13 15:30:00	:TSN	16.78	16.84	16.66	16.66	921800.00
2004-09-14 15:30:00	:TSN	16.62	16.83	16.50	16.71	2120400.00
2004-09-15 15:30:00	:TSN	16.52	16.60	16.31	16.47	1634600.00
2004-09-16 15:30:00	:TSN	16.49	16.52	16.35	16.46	1069900.00
2004-09-17 15:30:00	:TSN	16.48	16.66	16.38	16.64	1504900.00
2004-09-20 15:30:00	:TSN	16.50	16.60	16.44	16.52	748100.00
2004-09-21 15:30:00	:TSN	16.60	16.60	16.22	16.37	1101800.00
2004-09-22 15:30:00	:TSN	16.37	16.37	16.02	16.02	989300.00
2004-09-23 15:30:00	:TSN	16.15	16.19	15.99	16.04	992400.00
2004-09-24 15:30:00	:TSN	16.00	16.22	16.00	16.05	693000.00
2004-09-27 15:30:00	:TSN	15.85	15.93	15.52	15.73	1245400.00
2004-09-28 15:30:00	:TSN	15.98	16.00	15.79	15.96	1428600.00
2004-09-29 15:30:00	:TSN	15.96	15.96	15.58	15.85	1938900.00
2004-09-30 15:30:00	:TSN	15.95	16.07	15.86	16.02	2431200.00
2004-10-01 15:30:00	:TSN	16.20	16.57	16.14	16.45	1430800.00
2004-10-04 15:30:00	:TSN	16.35	16.66	16.35	16.48	943200.00
2004-10-05 15:30:00	:TSN	16.48	16.52	16.13	16.20	1149200.00
2004-10-06 15:30:00	:TSN	15.95	16.10	15.95	16.06	1188800.00
2004-10-07 15:30:00	:TSN	15.95	16.10	15.92	15.95	838700.00
2004-10-08 15:30:00	:TSN	15.86	16.06	15.72	15.90	1345000.00
2004-10-11 15:30:00	:TSN	15.80	15.94	15.80	15.85	494700.00
2004-10-12 15:30:00	:TSN	15.85	15.85	15.49	15.64	2055500.00
2004-10-13 15:30:00	:TSN	15.65	15.67	15.45	15.56	1154600.00
2004-10-14 15:30:00	:TSN	15.49	15.67	15.18	15.25	1621000.00
2004-10-15 15:30:00	:TSN	15.28	15.33	15.06	15.23	1066100.00
2004-10-18 15:30:00	:TSN	15.08	15.29	14.98	14.99	1579900.00
2004-10-19 15:30:00	:TSN	15.00	15.37	14.97	15.15	1448100.00
2004-10-20 15:30:00	:TSN	15.11	15.27	15.02	15.10	998000.00
2004-10-21 15:30:00	:TSN	15.02	15.14	14.82	14.89	1938300.00
2004-10-22 15:30:00	:TSN	14.92	15.00	14.60	14.61	2085300.00
2004-10-25 15:30:00	:TSN	14.61	14.62	13.97	14.12	3979700.00
2004-10-26 15:30:00	:TSN	14.20	14.51	14.00	14.35	2305700.00
2004-10-27 15:30:00	:TSN	14.40	14.78	14.34	14.64	1166800.00
2004-10-28 15:30:00	:TSN	14.68	14.89	14.67	14.70	849000.00
2004-10-29 15:30:00	:TSN	14.67	14.85	14.35	14.50	1159600.00
2004-11-01 15:30:00	:TSN	14.59	14.60	14.35	14.50	1252400.00
2004-11-02 15:30:00	:TSN	14.58	14.83	14.53	14.72	1196900.00
2004-11-03 15:30:00	:TSN	14.97	15.18	14.67	14.81	1198900.00
2004-11-04 15:30:00	:TSN	14.85	15.31	14.72	15.23	1445300.00
2004-11-05 15:30:00	:TSN	15.40	15.89	15.33	15.59	1911600.00
2004-11-08 15:30:00	:TSN	15.53	15.74	15.46	15.57	1578700.00
