datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TTWO	23.73	24.06	23.52	24.03	1204997.00
2004-04-08 15:30:00	:TTWO	24.13	24.35	23.78	23.79	951895.00
2004-04-12 15:30:00	:TTWO	23.50	24.05	23.50	24.05	697810.00
2004-04-13 15:30:00	:TTWO	24.17	24.19	23.44	23.47	820935.00
2004-04-14 15:30:00	:TTWO	19.65	21.33	19.49	21.28	19392554.00
2004-04-15 15:30:00	:TTWO	21.11	21.59	20.47	21.23	4471417.00
2004-04-16 15:30:00	:TTWO	21.17	21.21	20.52	20.83	1339058.00
2004-04-19 15:30:00	:TTWO	20.69	21.44	20.68	21.35	1854317.00
2004-04-20 15:30:00	:TTWO	21.38	21.65	21.01	21.11	1648317.00
2004-04-21 15:30:00	:TTWO	21.07	21.22	20.67	21.05	1304034.00
2004-04-22 15:30:00	:TTWO	20.97	21.43	20.80	21.17	1062671.00
2004-04-23 15:30:00	:TTWO	21.18	21.30	20.62	21.01	1336995.00
2004-04-26 15:30:00	:TTWO	20.93	21.05	20.62	20.77	852181.00
2004-04-27 15:30:00	:TTWO	20.71	20.79	20.04	20.47	2255817.00
2004-04-28 15:30:00	:TTWO	20.35	20.52	20.27	20.37	914822.00
2004-04-29 15:30:00	:TTWO	20.42	20.55	19.20	19.62	2435587.00
2004-04-30 15:30:00	:TTWO	19.91	20.16	18.99	19.26	1941359.00
2004-05-03 15:30:00	:TTWO	19.24	20.31	19.00	20.09	2017933.00
2004-05-04 15:30:00	:TTWO	20.02	20.67	19.95	20.59	1177065.00
2004-05-05 15:30:00	:TTWO	20.56	20.91	20.26	20.70	1492638.00
2004-05-06 15:30:00	:TTWO	20.77	20.85	20.12	20.54	1079781.00
2004-05-07 15:30:00	:TTWO	20.44	20.83	20.02	20.38	1550161.00
2004-05-10 15:30:00	:TTWO	20.30	20.40	19.20	19.63	2396589.00
2004-05-11 15:30:00	:TTWO	19.77	20.17	18.91	19.51	2542787.00
2004-05-12 15:30:00	:TTWO	19.52	19.65	18.93	19.36	2472659.00
2004-05-13 15:30:00	:TTWO	19.37	19.89	19.31	19.51	1413550.00
2004-05-14 15:30:00	:TTWO	19.57	19.69	19.27	19.34	805506.00
2004-05-17 15:30:00	:TTWO	19.17	19.23	18.37	19.03	2024811.00
2004-05-18 15:30:00	:TTWO	19.01	19.11	18.57	18.66	1179762.00
2004-05-19 15:30:00	:TTWO	18.70	19.40	18.70	18.85	1515565.00
2004-05-20 15:30:00	:TTWO	19.02	19.23	18.61	18.77	1585075.00
2004-05-21 15:30:00	:TTWO	18.87	19.26	18.59	18.89	874221.00
2004-05-24 15:30:00	:TTWO	19.08	19.30	18.94	19.15	766283.00
2004-05-25 15:30:00	:TTWO	19.20	20.08	19.10	20.00	1299935.00
2004-05-26 15:30:00	:TTWO	20.03	20.33	19.59	19.93	971348.00
2004-05-27 15:30:00	:TTWO	19.86	20.35	19.67	20.26	897955.00
2004-05-28 15:30:00	:TTWO	20.19	20.19	19.68	19.85	743382.00
2004-06-01 15:30:00	:TTWO	19.91	20.27	19.57	19.85	1149198.00
2004-06-02 15:30:00	:TTWO	19.61	19.83	19.03	19.71	1845940.00
