datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TT	27.82	27.87	27.18	27.35	3091610.00
2004-04-08 15:30:00	:TT	27.40	27.77	27.24	27.33	2954198.00
2004-04-12 15:30:00	:TT	27.36	27.82	27.36	27.64	1295474.00
2004-04-13 15:30:00	:TT	27.64	27.74	26.97	27.09	3780466.00
2004-04-14 15:30:00	:TT	26.93	27.83	26.92	27.44	3114296.00
2004-04-15 15:30:00	:TT	27.44	27.93	27.44	27.67	3581182.00
2004-04-16 15:30:00	:TT	27.67	28.53	27.52	28.19	5313382.00
2004-04-19 15:30:00	:TT	28.20	28.23	27.68	27.93	2639418.00
2004-04-20 15:30:00	:TT	28.02	28.28	27.41	27.47	5649818.00
2004-04-21 15:30:00	:TT	27.29	27.46	26.99	27.09	4376772.00
2004-04-22 15:30:00	:TT	27.25	28.01	27.16	27.99	5554946.00
2004-04-23 15:30:00	:TT	27.15	27.29	26.51	26.92	5315444.00
2004-04-26 15:30:00	:TT	27.09	27.11	26.56	26.61	3774022.00
2004-04-27 15:30:00	:TT	26.57	26.97	26.54	26.60	3386282.00
2004-04-28 15:30:00	:TT	26.53	26.57	25.65	25.76	4814784.00
2004-04-29 15:30:00	:TT	25.72	25.72	25.12	25.27	5580726.00
2004-04-30 15:30:00	:TT	25.33	25.52	24.88	25.04	4265142.00
2004-05-03 15:30:00	:TT	25.09	25.31	24.98	25.29	3466202.00
2004-05-04 15:30:00	:TT	25.25	25.68	24.98	25.60	5139620.00
2004-05-05 15:30:00	:TT	25.60	25.74	25.39	25.54	3743858.00
2004-05-06 15:30:00	:TT	25.48	25.48	24.97	25.19	3471874.00
2004-05-07 15:30:00	:TT	25.12	25.42	24.54	24.82	3958610.00
2004-05-10 15:30:00	:TT	24.26	24.44	22.90	23.65	9745584.00
2004-05-11 15:30:00	:TT	24.01	24.37	23.70	24.24	5080582.00
2004-05-12 15:30:00	:TT	24.62	24.69	23.91	24.66	5124152.00
2004-05-13 15:30:00	:TT	24.36	24.73	24.12	24.31	2969152.00
2004-05-14 15:30:00	:TT	24.28	24.79	24.01	24.46	2710056.00
2004-05-17 15:30:00	:TT	23.95	24.01	23.63	23.77	4012750.00
2004-05-18 15:30:00	:TT	24.38	24.41	23.99	24.36	4044718.00
2004-05-19 15:30:00	:TT	24.70	25.13	24.21	24.23	3232886.00
2004-05-20 15:30:00	:TT	24.23	24.23	23.71	23.87	3679664.00
2004-05-21 15:30:00	:TT	24.03	24.18	23.75	24.10	3938502.00
2004-05-24 15:30:00	:TT	24.53	25.01	24.51	24.86	5184478.00
2004-05-25 15:30:00	:TT	24.82	25.35	24.55	25.27	4322118.00
