datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TXT	27.07	27.07	26.34	26.46	2063000.00
2004-04-08 15:30:00	:TXT	26.75	26.77	26.19	26.29	800800.00
2004-04-12 15:30:00	:TXT	26.32	26.89	26.29	26.71	767800.00
2004-04-13 15:30:00	:TXT	26.78	26.91	26.19	26.23	1269400.00
2004-04-14 15:30:00	:TXT	26.00	26.56	25.96	26.45	1444600.00
2004-04-15 15:30:00	:TXT	26.45	26.62	26.09	26.32	1620200.00
2004-04-16 15:30:00	:TXT	26.40	26.76	26.20	26.70	991400.00
2004-04-19 15:30:00	:TXT	26.39	26.66	26.39	26.59	715200.00
2004-04-20 15:30:00	:TXT	27.20	27.35	26.85	26.98	2300400.00
2004-04-21 15:30:00	:TXT	26.98	27.45	26.62	27.45	1904000.00
2004-04-22 15:30:00	:TXT	27.57	29.39	27.57	28.95	4658400.00
2004-04-23 15:30:00	:TXT	28.95	29.00	28.65	28.75	2319200.00
2004-04-26 15:30:00	:TXT	28.72	29.11	28.46	29.02	1921000.00
2004-04-27 15:30:00	:TXT	29.03	29.32	28.90	28.98	1516000.00
2004-04-28 15:30:00	:TXT	28.90	28.90	28.39	28.48	1238000.00
2004-04-29 15:30:00	:TXT	28.43	28.64	27.90	28.07	1427800.00
2004-04-30 15:30:00	:TXT	28.05	28.14	27.43	27.59	1729800.00
2004-05-03 15:30:00	:TXT	27.71	27.93	27.48	27.80	854000.00
2004-05-04 15:30:00	:TXT	27.80	28.23	27.76	27.77	959000.00
2004-05-05 15:30:00	:TXT	27.75	27.81	27.55	27.68	799400.00
2004-05-06 15:30:00	:TXT	27.62	27.75	27.27	27.41	939800.00
2004-05-07 15:30:00	:TXT	27.29	27.48	26.91	26.94	1071800.00
2004-05-10 15:30:00	:TXT	26.93	26.93	26.00	26.61	1653800.00
2004-05-11 15:30:00	:TXT	26.61	26.84	26.55	26.70	1058600.00
2004-05-12 15:30:00	:TXT	26.73	26.86	26.20	26.70	1225800.00
2004-05-13 15:30:00	:TXT	26.70	26.77	26.50	26.72	958600.00
2004-05-14 15:30:00	:TXT	26.65	26.85	26.43	26.71	716400.00
2004-05-17 15:30:00	:TXT	26.50	26.52	26.03	26.27	812800.00
2004-05-18 15:30:00	:TXT	26.35	26.55	26.21	26.50	889400.00
2004-05-19 15:30:00	:TXT	26.68	27.07	26.47	26.48	1283800.00
2004-05-20 15:30:00	:TXT	26.45	26.59	26.21	26.32	716200.00
2004-05-21 15:30:00	:TXT	26.50	26.52	26.22	26.50	1695600.00
2004-05-24 15:30:00	:TXT	26.62	26.95	26.30	26.50	1509400.00
2004-05-25 15:30:00	:TXT	26.55	26.87	26.20	26.84	1403000.00
2004-05-26 15:30:00	:TXT	26.75	27.32	26.66	27.27	1281600.00
2004-05-27 15:30:00	:TXT	27.39	27.75	27.32	27.48	1427800.00
