datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TYL	9.65	9.76	9.51	9.67	146500.00
2004-04-08 15:30:00	:TYL	9.75	10.00	9.75	9.83	107400.00
2004-04-12 15:30:00	:TYL	9.30	9.71	9.30	9.64	152100.00
2004-04-13 15:30:00	:TYL	9.48	9.64	9.42	9.52	231300.00
2004-04-14 15:30:00	:TYL	9.45	9.94	9.36	9.80	263000.00
2004-04-15 15:30:00	:TYL	9.75	9.81	9.70	9.73	215900.00
2004-04-16 15:30:00	:TYL	9.81	9.81	9.55	9.70	78800.00
2004-04-19 15:30:00	:TYL	9.70	9.75	9.56	9.74	48700.00
2004-04-20 15:30:00	:TYL	9.74	9.74	9.50	9.51	90800.00
2004-04-21 15:30:00	:TYL	9.51	9.60	9.31	9.59	93800.00
2004-04-22 15:30:00	:TYL	9.60	9.85	9.54	9.73	66500.00
2004-04-23 15:30:00	:TYL	9.70	9.74	9.41	9.70	255200.00
2004-04-26 15:30:00	:TYL	9.74	9.79	9.50	9.69	98400.00
2004-04-27 15:30:00	:TYL	9.71	9.82	9.65	9.82	117100.00
2004-04-28 15:30:00	:TYL	9.78	9.81	9.59	9.75	119800.00
2004-04-29 15:30:00	:TYL	9.75	9.79	9.36	9.45	181900.00
2004-04-30 15:30:00	:TYL	9.45	9.66	9.37	9.44	162500.00
2004-05-03 15:30:00	:TYL	9.25	9.56	9.25	9.52	416100.00
2004-05-04 15:30:00	:TYL	9.52	9.85	9.50	9.78	164800.00
2004-05-05 15:30:00	:TYL	9.75	9.86	9.51	9.52	119300.00
2004-05-06 15:30:00	:TYL	9.43	9.43	9.06	9.37	115400.00
2004-05-07 15:30:00	:TYL	9.25	9.40	9.04	9.04	96200.00
2004-05-10 15:30:00	:TYL	9.00	9.03	8.75	8.77	231100.00
2004-05-11 15:30:00	:TYL	8.77	8.77	8.40	8.76	220300.00
2004-05-12 15:30:00	:TYL	8.66	9.05	8.48	9.05	153200.00
2004-05-13 15:30:00	:TYL	8.95	9.00	8.83	8.92	106400.00
2004-05-14 15:30:00	:TYL	8.87	9.05	8.76	8.78	238300.00
2004-05-17 15:30:00	:TYL	8.67	8.91	8.65	8.84	89700.00
2004-05-18 15:30:00	:TYL	8.77	8.90	8.77	8.88	37800.00
2004-05-19 15:30:00	:TYL	9.02	9.28	8.79	8.81	139100.00
2004-05-20 15:30:00	:TYL	8.91	9.12	8.85	8.95	128700.00
2004-05-21 15:30:00	:TYL	8.94	9.20	8.94	9.16	59100.00
2004-05-24 15:30:00	:TYL	9.21	9.33	9.03	9.13	53400.00
2004-05-25 15:30:00	:TYL	9.21	9.35	8.95	9.26	116400.00
2004-05-26 15:30:00	:TYL	9.22	9.40	9.10	9.39	57700.00
2004-05-27 15:30:00	:TYL	9.37	9.39	8.87	9.03	138700.00
2004-05-28 15:30:00	:TYL	9.03	9.20	8.90	8.90	74100.00
2004-06-01 15:30:00	:TYL	8.87	9.08	8.87	9.01	82900.00
2004-06-02 15:30:00	:TYL	9.05	9.09	8.95	9.00	101000.00
2004-06-03 15:30:00	:TYL	8.98	8.98	8.85	8.86	90200.00
2004-06-04 15:30:00	:TYL	8.95	8.98	8.86	8.89	57700.00
2004-06-07 15:30:00	:TYL	8.97	9.01	8.90	8.99	116600.00
2004-06-08 15:30:00	:TYL	9.02	9.02	8.82	8.95	61100.00
2004-06-09 15:30:00	:TYL	9.02	9.02	8.60	8.63	100000.00
2004-06-10 15:30:00	:TYL	8.71	8.82	8.55	8.74	174100.00
2004-06-14 15:30:00	:TYL	8.74	8.78	8.17	8.21	219500.00
2004-06-15 15:30:00	:TYL	8.23	8.57	8.23	8.48	145200.00
2004-06-16 15:30:00	:TYL	8.50	8.80	8.43	8.49	110600.00
2004-06-17 15:30:00	:TYL	8.51	8.66	8.26	8.66	99800.00
2004-06-18 15:30:00	:TYL	8.73	8.85	8.68	8.85	247500.00
2004-06-21 15:30:00	:TYL	8.82	9.01	8.78	9.00	242300.00
2004-06-22 15:30:00	:TYL	8.92	8.95	8.52	8.85	134600.00
2004-06-23 15:30:00	:TYL	8.80	9.00	8.65	8.95	102000.00
2004-06-24 15:30:00	:TYL	8.90	9.14	8.69	8.69	215800.00
2004-06-25 15:30:00	:TYL	8.79	10.10	8.75	10.10	530900.00
