datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:T	18.91	18.91	18.54	18.55	14117960.00
2004-04-08 15:30:00	:T	18.68	18.70	18.37	18.46	8470326.00
2004-04-12 15:30:00	:T	18.57	18.64	18.42	18.47	12809895.00
2004-04-13 15:30:00	:T	18.64	18.65	18.23	18.31	11294478.00
2004-04-14 15:30:00	:T	18.29	18.37	18.12	18.24	8691320.00
2004-04-15 15:30:00	:T	18.24	18.59	18.20	18.39	9507192.00
2004-04-16 15:30:00	:T	18.49	18.49	18.15	18.24	10204615.00
2004-04-19 15:30:00	:T	18.15	18.49	18.09	18.42	9289511.00
2004-04-20 15:30:00	:T	18.64	18.98	18.36	18.39	13755871.00
2004-04-21 15:30:00	:T	18.63	18.85	18.53	18.70	17478296.00
2004-04-22 15:30:00	:T	18.59	19.27	18.58	19.17	24202147.00
2004-04-23 15:30:00	:T	19.28	19.30	19.06	19.19	12318359.00
2004-04-26 15:30:00	:T	19.21	19.38	19.14	19.25	13173309.00
2004-04-27 15:30:00	:T	19.26	19.34	19.02	19.24	14793529.00
2004-04-28 15:30:00	:T	19.25	19.27	19.02	19.03	9774950.00
2004-04-29 15:30:00	:T	19.05	19.37	18.96	19.15	11751303.00
2004-04-30 15:30:00	:T	19.25	19.28	18.76	18.79	12382481.00
2004-05-03 15:30:00	:T	19.06	19.06	18.77	19.04	11078783.00
2004-05-04 15:30:00	:T	19.23	19.31	19.05	19.18	9392988.00
2004-05-05 15:30:00	:T	19.08	19.23	19.01	19.21	8952061.00
2004-05-06 15:30:00	:T	19.04	19.22	18.68	19.10	9994883.00
2004-05-07 15:30:00	:T	19.04	19.10	18.67	18.67	9228829.00
2004-05-10 15:30:00	:T	18.18	18.71	18.18	18.50	12196333.00
2004-05-11 15:30:00	:T	18.42	18.51	18.33	18.48	7234995.00
2004-05-12 15:30:00	:T	18.31	18.53	18.19	18.49	9135025.00
2004-05-13 15:30:00	:T	18.42	18.82	18.36	18.63	11823774.00
2004-05-14 15:30:00	:T	18.49	18.61	18.33	18.49	8061068.00
2004-05-17 15:30:00	:T	18.21	18.48	18.20	18.34	9924934.00
2004-05-18 15:30:00	:T	18.33	18.71	18.25	18.56	10905357.00
2004-05-19 15:30:00	:T	18.56	18.69	18.34	18.42	14614533.00
2004-05-20 15:30:00	:T	18.35	18.40	18.19	18.35	8298752.00
2004-05-21 15:30:00	:T	18.42	18.51	18.27	18.36	7938116.00
2004-05-24 15:30:00	:T	18.37	18.42	18.11	18.26	6712722.00
2004-05-25 15:30:00	:T	18.15	18.26	17.84	18.15	13404504.00
2004-05-26 15:30:00	:T	18.18	18.18	17.74	17.74	14837379.00
2004-05-27 15:30:00	:T	17.93	18.04	17.78	18.00	12231044.00
2004-05-28 15:30:00	:T	18.05	18.05	17.83	17.89	7314752.00
2004-06-01 15:30:00	:T	17.91	18.02	17.77	17.92	8742328.00
2004-06-02 15:30:00	:T	17.93	18.33	17.93	18.02	8184283.00
2004-06-03 15:30:00	:T	17.90	18.19	17.86	17.90	7620405.00
2004-06-04 15:30:00	:T	17.92	18.25	17.92	18.06	7328928.00
2004-06-07 15:30:00	:T	18.07	18.35	18.06	18.33	7907245.00
2004-06-08 15:30:00	:T	18.18	18.42	18.02	18.37	7714608.00
2004-06-09 15:30:00	:T	18.27	19.00	18.25	18.58	18957016.00
2004-06-10 15:30:00	:T	18.66	18.88	18.53	18.73	11263606.00
2004-06-14 15:30:00	:T	18.59	18.69	18.50	18.53	9040565.00
2004-06-15 15:30:00	:T	18.60	18.67	18.35	18.47	8579366.00
2004-06-16 15:30:00	:T	18.47	18.52	18.34	18.45	7313428.00
2004-06-17 15:30:00	:T	18.38	18.53	18.32	18.52	6181831.00
2004-06-18 15:30:00	:T	18.52	18.73	18.44	18.57	12414941.00
2004-06-21 15:30:00	:T	18.45	18.50	18.38	18.42	8816259.00
2004-06-22 15:30:00	:T	18.36	18.43	18.15	18.17	11258171.00
2004-06-23 15:30:00	:T	18.23	18.34	18.18	18.30	11123694.00
2004-06-24 15:30:00	:T	18.27	18.33	17.87	17.96	15873320.00
2004-06-25 15:30:00	:T	18.00	18.26	17.94	17.96	15122367.00
2004-06-28 15:30:00	:T	18.11	18.49	18.08	18.23	14874213.00
2004-06-29 15:30:00	:T	18.25	18.46	18.21	18.31	8390170.00
2004-06-30 15:30:00	:T	18.31	18.53	18.21	18.30	12106639.00
2004-07-01 15:30:00	:T	18.42	18.46	18.12	18.22	11349988.00
2004-07-02 15:30:00	:T	18.15	18.24	18.05	18.20	6558237.00
2004-07-06 15:30:00	:T	18.17	18.33	18.12	18.21	10266885.00
2004-07-07 15:30:00	:T	18.01	18.06	17.86	18.00	8296366.00
2004-07-08 15:30:00	:T	18.04	18.05	17.65	17.71	7993099.00
2004-07-09 15:30:00	:T	17.73	17.83	17.58	17.81	7513886.00
2004-07-12 15:30:00	:T	17.80	17.98	17.74	17.87	6455821.00
2004-07-13 15:30:00	:T	17.82	17.86	17.64	17.67	6499806.00
2004-07-14 15:30:00	:T	17.54	17.93	17.53	17.77	11612716.00
2004-07-15 15:30:00	:T	17.72	17.77	17.34	17.36	8384208.00
2004-07-16 15:30:00	:T	17.54	17.54	17.38	17.44	9607351.00
2004-07-19 15:30:00	:T	17.44	17.61	17.41	17.48	8301138.00
2004-07-20 15:30:00	:T	17.48	17.70	17.47	17.56	8482784.00
2004-07-21 15:30:00	:T	17.70	17.96	17.47	17.51	9396165.00
2004-07-22 15:30:00	:T	17.70	17.93	17.47	17.80	15414770.00
2004-07-23 15:30:00	:T	18.11	18.53	18.11	18.28	20890567.00
2004-07-26 15:30:00	:T	18.54	18.78	18.48	18.68	18932107.00
2004-07-27 15:30:00	:T	18.86	19.47	18.82	19.13	21235304.00
2004-07-28 15:30:00	:T	19.17	19.25	18.93	19.17	11987398.00
2004-07-29 15:30:00	:T	19.17	19.30	19.07	19.17	10517554.00
2004-07-30 15:30:00	:T	19.17	19.21	18.87	19.13	11659351.00
2004-08-02 15:30:00	:T	19.16	19.32	19.08	19.24	11469763.00
2004-08-03 15:30:00	:T	19.40	19.63	19.23	19.29	15568722.00
2004-08-04 15:30:00	:T	19.23	19.42	19.14	19.31	6568836.00
2004-08-05 15:30:00	:T	19.31	19.35	19.07	19.08	8097367.00
2004-08-06 15:30:00	:T	18.88	19.13	18.72	18.76	8728282.00
2004-08-09 15:30:00	:T	18.83	18.94	18.70	18.76	8090878.00
2004-08-10 15:30:00	:T	18.87	19.08	18.83	19.06	8964911.00
2004-08-11 15:30:00	:T	18.94	19.14	18.94	19.09	8705366.00
2004-08-12 15:30:00	:T	19.06	19.16	18.98	19.05	7918243.00
2004-08-13 15:30:00	:T	19.00	19.11	18.82	18.91	6011852.00
2004-08-16 15:30:00	:T	18.91	19.29	18.88	19.28	8330948.00
2004-08-17 15:30:00	:T	19.28	19.36	19.07	19.15	7155238.00
2004-08-18 15:30:00	:T	19.18	19.31	19.15	19.31	9841992.00
2004-08-19 15:30:00	:T	19.25	19.47	19.16	19.28	8686946.00
2004-08-20 15:30:00	:T	19.28	19.49	19.22	19.30	6959417.00
2004-08-23 15:30:00	:T	19.55	19.55	19.28	19.33	10236413.00
2004-08-24 15:30:00	:T	19.43	19.46	19.22	19.31	6404549.00
2004-08-25 15:30:00	:T	19.34	19.50	19.07	19.39	11508577.00
2004-08-26 15:30:00	:T	19.42	19.55	19.34	19.43	8175009.00
2004-08-27 15:30:00	:T	19.41	19.54	19.38	19.50	6119561.00
2004-08-30 15:30:00	:T	19.50	19.57	19.42	19.47	5774297.00
2004-08-31 15:30:00	:T	19.53	19.53	19.30	19.47	8168249.00
2004-09-01 15:30:00	:T	19.53	19.62	19.30	19.62	8871506.00
2004-09-02 15:30:00	:T	19.65	19.81	19.50	19.76	7611928.00
2004-09-03 15:30:00	:T	19.78	20.04	19.71	19.78	7551382.00
2004-09-07 15:30:00	:T	19.99	20.18	19.87	20.14	10308620.00
2004-09-08 15:30:00	:T	20.00	20.25	19.99	20.04	10477679.00
2004-09-09 15:30:00	:T	20.06	20.15	19.82	19.85	9878028.00
2004-09-10 15:30:00	:T	19.89	20.08	19.74	20.05	10326107.00
2004-09-13 15:30:00	:T	20.02	20.26	20.00	20.26	7983028.00
2004-09-14 15:30:00	:T	20.26	20.29	19.93	20.09	11777801.00
2004-09-15 15:30:00	:T	20.09	20.18	19.55	19.67	14482969.00
2004-09-16 15:30:00	:T	19.70	20.11	19.66	20.05	9076730.00
2004-09-17 15:30:00	:T	20.18	20.18	19.85	19.99	11077059.00
2004-09-20 15:30:00	:T	19.87	20.00	19.79	19.96	5437111.00
2004-09-21 15:30:00	:T	19.94	20.02	19.84	19.93	6582612.00
2004-09-22 15:30:00	:T	19.90	19.95	19.81	19.90	9591452.00
2004-09-23 15:30:00	:T	19.89	19.93	19.59	19.65	9950499.00
2004-09-24 15:30:00	:T	19.62	19.70	19.51	19.66	7829738.00
2004-09-27 15:30:00	:T	19.53	19.65	19.36	19.60	6980743.00
2004-09-28 15:30:00	:T	19.68	19.73	19.40	19.49	9272686.00
2004-09-29 15:30:00	:T	19.42	19.63	19.30	19.63	10229261.00
2004-09-30 15:30:00	:T	19.67	19.71	19.44	19.59	10859912.00
2004-10-01 15:30:00	:T	19.81	19.93	19.62	19.87	12136449.00
2004-10-04 15:30:00	:T	19.89	20.38	19.88	20.30	12391492.00
2004-10-05 15:30:00	:T	20.36	20.60	20.27	20.53	11079581.00
2004-10-06 15:30:00	:T	20.57	20.57	20.22	20.49	8064509.00
2004-10-07 15:30:00	:T	20.39	20.49	20.15	20.38	8898801.00
2004-10-08 15:30:00	:T	20.24	20.41	20.21	20.25	6625009.00
2004-10-11 15:30:00	:T	20.27	20.37	20.23	20.28	4361558.00
2004-10-12 15:30:00	:T	20.13	20.42	20.08	20.30	7154440.00
2004-10-13 15:30:00	:T	20.34	20.46	20.04	20.10	7996148.00
2004-10-14 15:30:00	:T	20.03	20.26	19.89	19.89	5865843.00
2004-10-15 15:30:00	:T	20.03	20.36	19.93	20.14	8368309.00
2004-10-18 15:30:00	:T	20.19	20.33	20.08	20.31	7542107.00
2004-10-19 15:30:00	:T	20.29	20.29	20.04	20.15	9652796.00
2004-10-20 15:30:00	:T	20.14	20.18	19.89	19.97	10833015.00
2004-10-21 15:30:00	:T	19.97	20.00	19.13	19.38	20400491.00
2004-10-22 15:30:00	:T	19.36	19.38	18.98	19.05	12824199.00
2004-10-25 15:30:00	:T	18.82	18.94	18.62	18.86	13144959.00
2004-10-26 15:30:00	:T	18.83	18.83	18.53	18.68	16697669.00
2004-10-27 15:30:00	:T	18.64	19.00	18.53	18.84	10863623.00
2004-10-28 15:30:00	:T	18.84	19.23	18.81	19.13	12383542.00
2004-10-29 15:30:00	:T	19.19	19.30	19.07	19.07	13493008.00
2004-11-01 15:30:00	:T	19.13	19.49	18.94	19.38	15317127.00
2004-11-02 15:30:00	:T	19.22	19.59	19.22	19.26	13345282.00
2004-11-03 15:30:00	:T	19.38	19.57	19.33	19.40	12385658.00
2004-11-04 15:30:00	:T	19.50	19.79	19.43	19.71	12822212.00
2004-11-05 15:30:00	:T	19.84	19.91	19.68	19.81	10347575.00
2004-11-08 15:30:00	:T	19.88	19.96	19.71	19.84	9496194.00
2004-11-09 15:30:00	:T	19.87	19.91	19.68	19.74	11837685.00
2004-11-10 15:30:00	:T	19.85	19.87	19.52	19.60	12279802.00
2004-11-11 15:30:00	:T	19.69	19.80	19.67	19.78	8995782.00
2004-11-12 15:30:00	:T	19.70	20.15	19.68	20.13	11659487.00
2004-11-15 15:30:00	:T	20.02	20.03	19.75	19.91	10800028.00
2004-11-16 15:30:00	:T	19.95	20.02	19.62	19.72	11675784.00
2004-11-17 15:30:00	:T	19.89	20.04	19.60	19.76	10237075.00
2004-11-18 15:30:00	:T	19.78	19.83	19.63	19.71	8890318.00
2004-11-19 15:30:00	:T	19.68	19.75	19.47	19.54	8105979.00
2004-11-22 15:30:00	:T	19.59	19.72	19.23	19.26	14801080.00
2004-11-23 15:30:00	:T	19.32	19.36	19.10	19.22	11655776.00
2004-11-24 15:30:00	:T	19.08	19.15	18.98	19.14	10598373.00
2004-11-26 15:30:00	:T	19.23	19.25	19.16	19.23	5341849.00
2004-11-29 15:30:00	:T	19.23	19.30	19.10	19.13	9432072.00
2004-11-30 15:30:00	:T	19.06	19.11	18.91	19.00	10470656.00
2004-12-01 15:30:00	:T	19.17	19.54	19.10	19.46	15646891.00
2004-12-02 15:30:00	:T	19.46	20.05	19.44	19.70	14998888.00
2004-12-03 15:30:00	:T	19.68	19.74	19.40	19.48	9922284.00
2004-12-06 15:30:00	:T	19.38	19.44	19.25	19.25	9157285.00
2004-12-07 15:30:00	:T	19.34	19.44	19.16	19.18	10258010.00
2004-12-08 15:30:00	:T	19.22	19.28	18.94	19.07	9376028.00
2004-12-09 15:30:00	:T	18.87	19.06	18.85	18.88	12078154.00
2004-12-10 15:30:00	:T	19.10	19.38	18.83	19.10	12839043.00
2004-12-13 15:30:00	:T	19.30	19.54	19.19	19.44	11877561.00
2004-12-14 15:30:00	:T	19.50	19.62	19.33	19.59	11969249.00
2004-12-15 15:30:00	:T	19.62	19.62	19.16	19.38	13023731.00
2004-12-16 15:30:00	:T	19.38	19.46	19.15	19.40	14508277.00
2004-12-17 15:30:00	:T	19.40	19.56	19.32	19.40	17481081.00
2004-12-20 15:30:00	:T	19.51	19.65	19.44	19.48	11430543.00
2004-12-21 15:30:00	:T	19.53	19.65	19.49	19.55	9836429.00
2004-12-22 15:30:00	:T	19.62	19.74	19.44	19.59	8889257.00
2004-12-23 15:30:00	:T	19.57	19.68	19.55	19.65	5626571.00
2004-12-27 15:30:00	:T	19.62	19.70	19.56	19.59	9090114.00
2004-12-28 15:30:00	:T	19.56	19.75	19.56	19.66	5840542.00
2004-12-29 15:30:00	:T	19.56	19.62	19.47	19.53	8165600.00
2004-12-30 15:30:00	:T	19.61	19.62	19.44	19.44	7426179.00
2004-12-31 15:30:00	:T	19.47	19.54	19.37	19.45	7818348.00
2005-01-03 15:30:00	:T	19.61	19.61	19.29	19.31	13117136.00
2005-01-04 15:30:00	:T	19.44	19.46	19.11	19.11	15738707.00
2005-01-05 15:30:00	:T	19.19	19.47	19.19	19.20	14664750.00
2005-01-06 15:30:00	:T	19.15	19.15	18.88	18.98	11950565.00
2005-01-07 15:30:00	:T	19.06	19.16	18.91	18.93	13392187.00
2005-01-10 15:30:00	:T	18.94	18.94	18.66	18.79	16255681.00
2005-01-11 15:30:00	:T	18.79	18.81	18.54	18.61	14667400.00
2005-01-12 15:30:00	:T	18.56	18.76	18.51	18.73	12282188.00
2005-01-13 15:30:00	:T	18.66	18.73	18.33	18.44	15002200.00
2005-01-14 15:30:00	:T	18.45	18.51	18.27	18.42	14534640.00
2005-01-18 15:30:00	:T	18.41	18.82	18.41	18.78	18595982.00
2005-01-19 15:30:00	:T	19.10	19.13	18.69	18.71	12993123.00
2005-01-20 15:30:00	:T	18.70	18.79	18.47	18.47	16281516.00
2005-01-21 15:30:00	:T	18.61	18.67	18.47	18.55	16844070.00
2005-01-24 15:30:00	:T	18.62	18.88	18.51	18.52	11812113.00
2005-01-25 15:30:00	:T	18.53	18.61	18.36	18.45	12252641.00
2005-01-26 15:30:00	:T	18.64	18.79	18.39	18.55	16367107.00
2005-01-27 15:30:00	:T	18.30	18.31	17.85	17.87	36232079.00
