datetime	symbol	open	high	low	close	volume
2019-05-10 15:30:00	:UBER	42.00	45.00	41.06	41.57	186322536.00
2019-05-13 15:30:00	:UBER	38.79	39.24	36.08	37.10	79442420.00
2019-05-14 15:30:00	:UBER	38.31	39.96	36.85	39.96	46661147.00
2019-05-15 15:30:00	:UBER	39.37	41.88	38.95	41.29	36086065.00
2019-05-16 15:30:00	:UBER	41.48	44.06	41.25	43.00	38115524.00
2019-05-17 15:30:00	:UBER	41.98	43.29	41.27	41.91	20225687.00
2019-05-20 15:30:00	:UBER	41.19	41.68	39.46	41.59	29222330.00
2019-05-21 15:30:00	:UBER	42.00	42.24	41.25	41.50	10802851.00
2019-05-22 15:30:00	:UBER	41.05	41.28	40.50	41.25	9089469.00
2019-05-23 15:30:00	:UBER	40.80	41.09	40.02	40.47	11119870.00
2019-05-24 15:30:00	:UBER	41.28	41.51	40.50	41.51	8786751.00
2019-05-28 15:30:00	:UBER	41.70	41.80	40.60	40.95	13391605.00
2019-05-29 15:30:00	:UBER	40.52	40.71	39.15	39.94	14060447.00
2019-05-30 15:30:00	:UBER	40.07	40.38	39.50	39.80	26451864.00
2019-05-31 15:30:00	:UBER	41.15	41.57	39.41	40.41	23209848.00
2019-06-03 15:30:00	:UBER	40.74	41.85	40.24	41.25	16605261.00
2019-06-04 15:30:00	:UBER	42.56	42.88	40.70	42.75	23432141.00
2019-06-05 15:30:00	:UBER	42.87	45.66	42.50	45.00	28609604.00
2019-06-06 15:30:00	:UBER	45.00	45.75	44.28	44.92	16403691.00
2019-06-07 15:30:00	:UBER	44.92	45.67	44.13	44.16	12654670.00
2019-06-10 15:30:00	:UBER	44.02	44.59	42.53	42.61	11618701.00
2019-06-11 15:30:00	:UBER	43.22	43.65	41.80	42.45	9095044.00
2019-06-12 15:30:00	:UBER	42.52	42.65	41.71	42.17	5965250.00
2019-06-13 15:30:00	:UBER	43.05	44.35	42.80	44.31	10178935.00
2019-06-14 15:30:00	:UBER	44.75	44.80	43.11	43.23	7902223.00
2019-06-17 15:30:00	:UBER	43.28	44.08	42.93	43.78	6557589.00
2019-06-18 15:30:00	:UBER	44.30	44.89	43.75	43.86	7313602.00
2019-06-19 15:30:00	:UBER	44.46	45.50	43.95	44.86	10331520.00
2019-06-20 15:30:00	:UBER	45.03	45.29	43.51	43.86	9567367.00
2019-06-21 15:30:00	:UBER	43.85	44.14	43.38	44.00	4973987.00
2019-06-24 15:30:00	:UBER	44.00	44.07	42.82	43.09	5985052.00
