datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:UDR	18.83	19.38	18.52	19.13	1299700.00
2004-04-08 15:30:00	:UDR	19.05	19.13	18.86	19.00	548700.00
2004-04-12 15:30:00	:UDR	19.00	19.00	17.88	18.25	916800.00
2004-04-13 15:30:00	:UDR	18.00	18.50	17.10	18.06	1326900.00
2004-04-14 15:30:00	:UDR	21.98	21.98	17.35	17.52	1011400.00
2004-04-15 15:30:00	:UDR	17.62	18.15	17.55	18.15	1190000.00
2004-04-16 15:30:00	:UDR	18.05	18.32	17.95	18.00	477600.00
2004-04-19 15:30:00	:UDR	18.00	18.28	17.66	18.20	407900.00
2004-04-20 15:30:00	:UDR	18.27	18.27	17.80	17.80	985800.00
2004-04-21 15:30:00	:UDR	17.80	18.05	17.75	18.01	1446000.00
2004-04-22 15:30:00	:UDR	18.01	18.57	17.88	18.30	655200.00
2004-04-23 15:30:00	:UDR	18.30	18.36	17.93	17.93	537900.00
2004-04-26 15:30:00	:UDR	17.98	18.35	17.95	18.24	458300.00
2004-04-27 15:30:00	:UDR	18.28	18.57	18.23	18.52	888700.00
2004-04-28 15:30:00	:UDR	18.52	18.52	18.26	18.30	502900.00
2004-04-29 15:30:00	:UDR	18.40	18.47	17.89	17.99	581700.00
2004-04-30 15:30:00	:UDR	18.20	18.29	17.95	17.95	613300.00
2004-05-03 15:30:00	:UDR	18.05	18.56	17.94	18.56	625600.00
2004-05-04 15:30:00	:UDR	18.52	18.98	18.52	18.83	1025100.00
2004-05-05 15:30:00	:UDR	18.88	19.01	18.75	18.80	547300.00
2004-05-06 15:30:00	:UDR	18.55	19.19	18.46	19.00	761100.00
2004-05-07 15:30:00	:UDR	18.80	19.05	18.43	18.43	715600.00
2004-05-10 15:30:00	:UDR	18.30	18.69	17.99	18.55	714300.00
2004-05-11 15:30:00	:UDR	18.62	19.00	18.62	18.80	1003300.00
2004-05-12 15:30:00	:UDR	18.57	18.69	18.38	18.61	484200.00
2004-05-13 15:30:00	:UDR	18.46	19.02	18.42	18.70	606600.00
2004-05-14 15:30:00	:UDR	18.50	19.17	18.50	18.93	272500.00
2004-05-17 15:30:00	:UDR	18.64	19.14	18.60	18.96	328500.00
2004-05-18 15:30:00	:UDR	19.16	19.42	19.00	19.42	425500.00
2004-05-19 15:30:00	:UDR	19.35	19.45	18.61	18.68	757100.00
2004-05-20 15:30:00	:UDR	18.55	19.12	18.55	19.10	478400.00
2004-05-21 15:30:00	:UDR	19.10	19.34	18.83	18.84	636100.00
2004-05-24 15:30:00	:UDR	19.00	19.22	18.66	18.85	629400.00
2004-05-25 15:30:00	:UDR	18.98	19.33	18.82	19.30	424200.00
2004-05-26 15:30:00	:UDR	19.23	19.72	19.18	19.65	781400.00
2004-05-27 15:30:00	:UDR	19.98	19.99	19.71	19.84	689000.00
2004-05-28 15:30:00	:UDR	19.74	19.99	19.74	19.94	455400.00
2004-06-01 15:30:00	:UDR	19.79	19.89	19.52	19.66	435800.00
2004-06-02 15:30:00	:UDR	19.82	19.96	19.76	19.96	854900.00
2004-06-03 15:30:00	:UDR	19.86	19.97	19.65	19.65	485300.00
2004-06-04 15:30:00	:UDR	19.80	19.89	19.61	19.85	485200.00
2004-06-07 15:30:00	:UDR	19.93	19.93	19.72	19.73	470500.00
2004-06-08 15:30:00	:UDR	19.67	19.84	19.62	19.82	405000.00
2004-06-09 15:30:00	:UDR	19.82	19.89	19.67	19.70	266800.00
2004-06-10 15:30:00	:UDR	19.80	19.81	19.49	19.53	488100.00
2004-06-14 15:30:00	:UDR	19.40	19.40	19.02	19.14	662500.00
2004-06-15 15:30:00	:UDR	19.14	19.50	19.14	19.43	704100.00
2004-06-16 15:30:00	:UDR	19.33	19.90	19.30	19.72	1336100.00
2004-06-17 15:30:00	:UDR	19.61	19.93	19.57	19.89	553300.00
2004-06-18 15:30:00	:UDR	19.90	19.92	19.78	19.85	409200.00
2004-06-21 15:30:00	:UDR	19.89	19.98	19.78	19.90	621500.00
2004-06-22 15:30:00	:UDR	19.93	19.98	19.80	19.84	444900.00
2004-06-23 15:30:00	:UDR	19.84	19.90	19.77	19.84	479600.00
2004-06-24 15:30:00	:UDR	19.90	19.95	19.71	19.73	460800.00
2004-06-25 15:30:00	:UDR	19.71	19.88	19.70	19.80	538300.00
