datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:UNH	33.50	33.50	33.09	33.43	3334200.00
2004-04-08 15:30:00	:UNH	33.50	33.61	33.04	33.25	2611600.00
2004-04-12 15:30:00	:UNH	33.48	34.11	33.38	34.04	3295200.00
2004-04-13 15:30:00	:UNH	34.25	34.25	33.56	33.70	5113200.00
2004-04-14 15:30:00	:UNH	33.70	34.12	32.91	33.45	5100600.00
2004-04-15 15:30:00	:UNH	32.30	32.60	30.86	31.98	22419204.00
2004-04-16 15:30:00	:UNH	32.00	32.93	31.62	32.70	9732398.00
2004-04-19 15:30:00	:UNH	32.62	32.87	32.53	32.53	7295400.00
2004-04-20 15:30:00	:UNH	32.41	32.46	31.65	31.75	6906000.00
2004-04-21 15:30:00	:UNH	31.88	32.52	31.82	32.38	6768400.00
2004-04-22 15:30:00	:UNH	32.21	33.17	32.21	33.11	6534800.00
2004-04-23 15:30:00	:UNH	33.00	33.09	32.82	32.98	2737800.00
2004-04-26 15:30:00	:UNH	32.98	33.05	31.80	31.95	9605000.00
2004-04-27 15:30:00	:UNH	32.30	32.59	31.80	32.26	24539398.00
2004-04-28 15:30:00	:UNH	32.26	32.28	31.55	31.68	7986400.00
2004-04-29 15:30:00	:UNH	31.68	31.73	31.10	31.14	6776800.00
2004-04-30 15:30:00	:UNH	31.14	31.23	30.50	30.74	8386204.00
2004-05-03 15:30:00	:UNH	30.75	31.25	30.37	31.23	7755200.00
2004-05-04 15:30:00	:UNH	30.93	31.02	30.71	30.75	7168200.00
2004-05-05 15:30:00	:UNH	30.82	31.31	30.75	31.27	6424400.00
2004-05-06 15:30:00	:UNH	31.05	31.16	30.50	30.85	6344200.00
2004-05-07 15:30:00	:UNH	30.64	31.05	30.23	30.27	6557200.00
2004-05-10 15:30:00	:UNH	30.27	30.27	29.30	30.17	8979602.00
2004-05-11 15:30:00	:UNH	30.17	30.70	30.14	30.66	7623200.00
2004-05-12 15:30:00	:UNH	30.51	31.07	30.44	30.94	6470400.00
2004-05-13 15:30:00	:UNH	30.90	31.34	30.86	31.16	5878200.00
2004-05-14 15:30:00	:UNH	31.10	31.53	30.79	31.26	5716400.00
2004-05-17 15:30:00	:UNH	31.00	31.52	30.75	31.30	5237600.00
2004-05-18 15:30:00	:UNH	31.36	31.73	31.31	31.48	5195400.00
2004-05-19 15:30:00	:UNH	31.52	31.98	31.35	31.57	7940400.00
2004-05-20 15:30:00	:UNH	31.52	31.53	30.91	31.32	7511400.00
2004-05-21 15:30:00	:UNH	31.38	31.77	31.24	31.60	7786200.00
2004-05-24 15:30:00	:UNH	31.60	32.06	31.54	31.86	6141800.00
2004-05-25 15:30:00	:UNH	31.81	31.95	31.55	31.81	5592400.00
2004-05-26 15:30:00	:UNH	31.81	31.98	31.25	31.50	9423796.00
2004-05-27 15:30:00	:UNH	31.54	32.22	31.50	32.21	11126398.00
2004-05-28 15:30:00	:UNH	32.20	32.66	32.10	32.62	7110800.00
