datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:USB	26.94	27.00	26.58	26.81	5074000.00
2004-04-08 15:30:00	:USB	26.90	26.95	26.42	26.62	5774102.00
2004-04-12 15:30:00	:USB	26.75	26.90	26.50	26.56	5026000.00
2004-04-13 15:30:00	:USB	26.60	26.62	26.22	26.44	6549699.00
2004-04-14 15:30:00	:USB	26.40	26.50	25.60	25.80	9178801.00
2004-04-15 15:30:00	:USB	26.00	26.10	25.84	25.97	9876500.00
2004-04-16 15:30:00	:USB	26.15	26.43	26.07	26.30	7051199.00
2004-04-19 15:30:00	:USB	26.36	26.39	25.84	25.99	3875400.00
2004-04-20 15:30:00	:USB	26.30	26.30	25.75	25.83	5873699.00
2004-04-21 15:30:00	:USB	25.65	26.22	25.51	25.88	5650699.00
2004-04-22 15:30:00	:USB	25.89	26.50	25.87	26.24	6849102.00
2004-04-23 15:30:00	:USB	26.30	26.30	26.01	26.14	3860300.00
2004-04-26 15:30:00	:USB	26.25	26.30	25.91	26.00	3779400.00
2004-04-27 15:30:00	:USB	26.07	26.42	26.00	26.18	7163699.00
2004-04-28 15:30:00	:USB	26.17	26.17	25.75	25.76	4120301.00
2004-04-29 15:30:00	:USB	25.88	26.10	25.45	25.59	4569898.00
2004-04-30 15:30:00	:USB	25.73	25.85	25.49	25.64	4161301.00
2004-05-03 15:30:00	:USB	25.61	25.87	25.55	25.85	4044500.00
2004-05-04 15:30:00	:USB	25.70	26.47	25.70	26.19	4408199.00
2004-05-05 15:30:00	:USB	26.38	26.74	26.19	26.49	5497102.00
2004-05-06 15:30:00	:USB	26.25	26.49	26.14	26.28	4011700.00
2004-05-07 15:30:00	:USB	26.29	26.33	25.40	25.45	5411500.00
2004-05-10 15:30:00	:USB	25.44	25.45	24.89	25.13	6297102.00
2004-05-11 15:30:00	:USB	25.30	25.55	25.16	25.39	5009398.00
2004-05-12 15:30:00	:USB	25.22	25.89	25.22	25.85	6491602.00
2004-05-13 15:30:00	:USB	25.70	26.32	25.68	26.29	5218102.00
2004-05-14 15:30:00	:USB	26.09	26.64	26.09	26.41	4030100.00
2004-05-17 15:30:00	:USB	26.00	26.27	25.90	25.98	5116699.00
2004-05-18 15:30:00	:USB	25.98	26.68	25.98	26.49	4469199.00
2004-05-19 15:30:00	:USB	26.75	27.19	26.55	26.55	5079699.00
2004-05-20 15:30:00	:USB	26.50	26.78	26.41	26.58	3944300.00
2004-05-21 15:30:00	:USB	26.78	27.10	26.62	26.94	4413102.00
2004-05-24 15:30:00	:USB	27.20	27.35	26.87	27.24	4413801.00
2004-05-25 15:30:00	:USB	27.05	27.73	27.00	27.70	5782102.00
2004-05-26 15:30:00	:USB	27.60	28.08	27.60	28.08	5577801.00
2004-05-27 15:30:00	:USB	28.22	28.39	28.08	28.28	6646602.00
2004-05-28 15:30:00	:USB	28.17	28.26	28.01	28.10	5095898.00
2004-06-01 15:30:00	:USB	28.00	28.20	27.70	28.14	7894102.00
2004-06-02 15:30:00	:USB	28.15	28.58	28.11	28.53	5969199.00
2004-06-03 15:30:00	:USB	28.36	28.43	28.15	28.15	4918102.00
2004-06-04 15:30:00	:USB	28.28	28.50	28.26	28.37	3617200.00
2004-06-07 15:30:00	:USB	28.50	28.65	28.35	28.39	4788301.00
2004-06-08 15:30:00	:USB	28.35	28.39	28.12	28.39	6633102.00
2004-06-09 15:30:00	:USB	28.27	28.38	27.91	27.95	4929898.00
