datetime	symbol	open	high	low	close	volume
2017-10-17 15:30:00	:VICI	18.55	18.55	18.55	18.55	100000.00
2017-10-18 15:30:00	:VICI	18.50	18.52	18.50	18.50	8227502.00
2017-10-19 15:30:00	:VICI	18.50	18.57	18.50	18.50	550484.00
2017-10-20 15:30:00	:VICI	18.25	19.00	18.00	18.00	155577.00
2017-10-23 15:30:00	:VICI	18.00	18.00	18.00	18.00	349.00
2017-10-24 15:30:00	:VICI	18.70	18.70	18.65	18.65	287571.00
2017-10-25 15:30:00	:VICI	18.60	18.65	18.60	18.65	100127.00
2017-10-26 15:30:00	:VICI	18.60	18.65	18.50	18.50	160091.00
2017-10-27 15:30:00	:VICI	18.00	18.59	18.00	18.54	2133104.00
2017-10-31 14:30:00	:VICI	18.50	18.50	18.40	18.50	43330.00
2017-11-01 14:30:00	:VICI	18.25	18.50	18.25	18.50	57558.00
2017-11-02 14:30:00	:VICI	18.50	18.50	18.25	18.50	14760.00
2017-11-03 14:30:00	:VICI	18.52	18.54	18.52	18.54	370000.00
2017-11-06 15:30:00	:VICI	18.55	18.55	18.52	18.55	2745114.00
2017-11-07 15:30:00	:VICI	18.50	18.61	18.50	18.58	410946.00
2017-11-08 15:30:00	:VICI	18.55	18.60	18.50	18.55	24316.00
2017-11-09 15:30:00	:VICI	18.55	18.55	18.55	18.55	679.00
2017-11-10 15:30:00	:VICI	18.50	18.75	18.45	18.50	3621672.00
2017-11-13 15:30:00	:VICI	18.45	18.75	18.45	18.50	76362.00
2017-11-14 15:30:00	:VICI	18.50	18.50	18.35	18.35	218457.00
2017-11-15 15:30:00	:VICI	18.25	18.50	18.25	18.50	677508.00
2017-11-16 15:30:00	:VICI	18.50	18.60	18.50	18.50	152501.00
2017-11-17 15:30:00	:VICI	18.65	18.70	18.50	18.55	373494.00
2017-11-20 15:30:00	:VICI	18.65	18.65	18.55	18.60	312873.00
2017-11-21 15:30:00	:VICI	18.75	18.75	18.65	18.75	872552.00
2017-11-22 15:30:00	:VICI	18.65	18.75	18.65	18.75	1140544.00
2017-11-27 15:30:00	:VICI	18.75	18.80	18.75	18.80	6972.00
2017-11-28 15:30:00	:VICI	18.80	19.00	18.80	19.00	874646.00
2017-11-29 15:30:00	:VICI	19.05	19.05	19.05	19.05	230115.00
2017-11-30 15:30:00	:VICI	19.00	19.75	19.00	19.75	317469.00
2017-12-01 15:30:00	:VICI	19.75	20.50	19.75	19.78	600841.00
2017-12-04 15:30:00	:VICI	20.00	20.75	19.50	20.00	633824.00
2017-12-05 15:30:00	:VICI	20.05	21.00	19.85	21.00	301513.00
2017-12-06 15:30:00	:VICI	19.85	19.92	19.85	19.85	1035005.00
2017-12-07 15:30:00	:VICI	20.00	20.00	19.65	19.80	591002.00
2017-12-08 15:30:00	:VICI	19.80	19.88	19.80	19.80	385096.00
2017-12-11 15:30:00	:VICI	19.80	19.81	19.75	19.81	347861.00
2017-12-12 15:30:00	:VICI	19.75	19.81	19.75	19.81	144448.00
2017-12-13 15:30:00	:VICI	19.82	19.85	19.70	19.85	29863.00
2017-12-14 15:30:00	:VICI	19.90	20.00	19.85	20.00	343450.00
2017-12-15 15:30:00	:VICI	19.95	20.00	19.95	20.00	18468.00
2017-12-18 15:30:00	:VICI	20.00	20.10	19.95	20.00	15757.00
2017-12-19 15:30:00	:VICI	19.95	20.00	19.95	19.98	15001.00
2017-12-20 15:30:00	:VICI	20.00	20.40	20.00	20.00	29359.00
2017-12-21 15:30:00	:VICI	20.00	20.50	20.00	20.50	5647.00
2017-12-22 15:30:00	:VICI	20.50	20.75	20.00	20.20	26936.00
2017-12-26 15:30:00	:VICI	20.00	20.00	20.00	20.00	1096.00
2017-12-27 15:30:00	:VICI	20.50	20.50	20.50	20.50	120.00
2017-12-29 15:30:00	:VICI	20.50	21.00	19.95	20.50	48885.00
2018-01-02 15:30:00	:VICI	20.00	20.60	19.95	20.10	427922.00
2018-01-03 15:30:00	:VICI	20.50	20.60	20.00	20.16	231268.00
2018-01-04 15:30:00	:VICI	18.50	20.50	18.50	20.20	447786.00
2018-01-05 15:30:00	:VICI	20.20	20.20	20.15	20.20	78258.00
2018-01-08 15:30:00	:VICI	20.20	20.20	20.05	20.20	59242.00
2018-01-09 15:30:00	:VICI	20.20	20.21	20.00	20.21	224708.00
2018-01-10 15:30:00	:VICI	19.90	20.20	19.90	20.00	367502.00
2018-01-11 15:30:00	:VICI	20.00	20.00	19.85	20.00	37766.00
2018-01-12 15:30:00	:VICI	20.00	20.00	19.50	19.99	1109293.00
