datetime	symbol	open	high	low	close	volume
2008-03-19 14:30:00	:V	14.88	17.25	13.75	14.12	708486016.00
2008-03-20 14:30:00	:V	14.60	16.25	14.38	16.09	198984960.00
2008-03-24 14:30:00	:V	16.81	16.93	14.75	14.93	149694976.00
2008-03-25 14:30:00	:V	15.14	16.06	14.96	15.81	87165184.00
2008-03-26 14:30:00	:V	15.68	16.12	15.39	15.99	43139420.00
2008-03-27 14:30:00	:V	16.01	16.19	15.66	15.73	39835048.00
2008-03-28 14:30:00	:V	15.84	15.86	15.54	15.69	24698312.00
2008-03-31 15:30:00	:V	15.65	15.87	15.51	15.59	22170640.00
2008-04-01 15:30:00	:V	15.77	15.92	15.08	15.40	60431876.00
2008-04-02 15:30:00	:V	15.43	15.58	15.12	15.58	43846564.00
2008-04-03 15:30:00	:V	15.49	16.57	15.46	16.38	100867648.00
2008-04-04 15:30:00	:V	16.22	16.33	15.94	16.12	36396048.00
2008-04-07 15:30:00	:V	16.28	16.45	16.00	16.26	28313468.00
2008-04-08 15:30:00	:V	16.22	17.06	16.20	17.02	53963828.00
2008-04-09 15:30:00	:V	17.11	17.18	16.40	16.45	48339780.00
2008-04-10 15:30:00	:V	16.54	16.68	16.28	16.53	22385124.00
2008-04-11 15:30:00	:V	16.31	16.69	16.31	16.53	26434408.00
2008-04-14 15:30:00	:V	16.68	16.81	16.38	16.42	28446188.00
2008-04-15 15:30:00	:V	16.57	16.64	16.00	16.09	23903376.00
2008-04-16 15:30:00	:V	16.14	16.74	16.14	16.54	25148752.00
2008-04-17 15:30:00	:V	16.56	16.94	16.50	16.76	22462220.00
2008-04-18 15:30:00	:V	17.00	17.61	16.80	17.25	104122944.00
2008-04-21 15:30:00	:V	17.37	18.12	17.21	17.74	58885204.00
2008-04-22 15:30:00	:V	17.98	18.10	17.50	17.57	47378236.00
2008-04-23 15:30:00	:V	17.74	17.93	17.42	17.52	37336608.00
2008-04-24 15:30:00	:V	17.80	18.25	17.51	18.07	39082420.00
2008-04-25 15:30:00	:V	19.00	19.02	18.48	18.78	101459968.00
2008-04-28 15:30:00	:V	19.12	19.32	18.72	18.91	132517312.00
2008-04-29 15:30:00	:V	18.54	20.22	17.75	20.22	197308096.00
2008-04-30 15:30:00	:V	20.35	21.20	20.27	20.86	147543232.00
2008-05-01 15:30:00	:V	21.10	21.91	20.97	21.35	116395328.00
2008-05-02 15:30:00	:V	21.82	21.88	20.25	20.69	136648512.00
2008-05-05 15:30:00	:V	20.71	21.38	20.21	21.27	70376960.00
2008-05-06 15:30:00	:V	21.37	22.04	21.19	21.88	75912960.00
2008-05-07 15:30:00	:V	22.21	22.46	21.91	22.12	100464512.00
2008-05-08 15:30:00	:V	22.38	22.44	21.48	21.82	92866688.00
2008-05-09 15:30:00	:V	21.45	21.67	20.63	20.71	94311808.00
2008-05-12 15:30:00	:V	20.91	21.12	19.53	20.47	147550912.00
2008-05-13 15:30:00	:V	20.46	20.88	20.20	20.59	53271328.00
2008-05-14 15:30:00	:V	20.82	21.09	20.36	20.56	51400312.00
2008-05-15 15:30:00	:V	20.63	20.73	20.28	20.56	36728236.00
2008-05-16 15:30:00	:V	20.68	20.71	20.31	20.59	34066532.00
2008-05-19 15:30:00	:V	20.57	21.19	20.54	20.83	45651280.00
2008-05-20 15:30:00	:V	20.72	20.96	20.48	20.69	40706344.00
2008-05-21 15:30:00	:V	20.67	20.86	20.13	20.21	41831264.00
2008-05-22 15:30:00	:V	20.14	20.15	19.04	19.33	85317376.00
2008-05-23 15:30:00	:V	18.96	19.33	18.78	19.09	42223736.00
2008-05-27 15:30:00	:V	19.23	19.73	18.59	19.69	62814704.00
2008-05-28 15:30:00	:V	20.07	20.49	19.89	20.48	53034688.00
2008-05-29 15:30:00	:V	20.86	21.74	20.75	21.31	100613056.00
2008-05-30 15:30:00	:V	21.50	21.89	21.45	21.59	72048192.00
2008-06-02 15:30:00	:V	21.55	21.74	21.15	21.52	36855812.00
2008-06-03 15:30:00	:V	21.75	21.99	21.51	21.89	48484252.00
2008-06-04 15:30:00	:V	21.77	22.03	21.32	21.37	40704516.00
2008-06-05 15:30:00	:V	21.62	21.81	21.40	21.81	27059468.00
2008-06-06 15:30:00	:V	21.47	21.50	20.89	20.91	41771780.00
2008-06-09 15:30:00	:V	21.00	21.24	20.14	20.54	45239640.00
2008-06-10 15:30:00	:V	20.07	20.72	19.90	20.08	36086064.00
2008-06-11 15:30:00	:V	20.25	20.25	19.40	19.44	57036280.00
2008-06-12 15:30:00	:V	19.74	20.19	19.64	19.89	44605280.00
2008-06-13 15:30:00	:V	20.06	20.45	20.04	20.38	30717752.00
2008-06-16 15:30:00	:V	20.37	20.88	20.28	20.82	34406828.00
2008-06-17 15:30:00	:V	21.03	21.25	20.92	21.17	33289936.00
2008-06-18 15:30:00	:V	20.93	21.18	20.86	20.96	33757704.00
2008-06-19 15:30:00	:V	20.87	21.10	20.41	21.07	36933640.00
2008-06-20 15:30:00	:V	20.74	21.12	20.69	20.89	42584720.00
2008-06-23 15:30:00	:V	20.96	21.09	20.25	20.27	30170032.00
2008-06-24 15:30:00	:V	20.02	20.73	19.63	20.66	49908376.00
2008-06-25 15:30:00	:V	20.84	21.11	20.46	20.52	50724640.00
2008-06-26 15:30:00	:V	20.15	20.19	19.50	19.78	76583680.00
2008-06-27 15:30:00	:V	19.70	20.72	19.64	20.65	176046400.00
2008-06-30 15:30:00	:V	20.50	20.71	20.07	20.33	49329656.00
2008-07-01 15:30:00	:V	19.91	20.35	19.80	20.35	44930608.00
2008-07-02 15:30:00	:V	20.47	20.60	19.82	19.86	33843936.00
2008-07-03 15:30:00	:V	19.84	19.95	19.31	19.52	28757860.00
2008-07-07 15:30:00	:V	19.62	19.98	18.50	18.91	79957184.00
2008-07-08 15:30:00	:V	18.72	19.88	18.06	19.77	95812544.00
2008-07-09 15:30:00	:V	19.75	19.78	18.85	18.97	55330108.00
2008-07-10 15:30:00	:V	18.94	19.41	18.47	19.31	52851032.00
2008-07-11 15:30:00	:V	18.90	19.36	18.50	18.64	54645204.00
2008-07-14 15:30:00	:V	19.02	19.04	18.12	18.14	42694080.00
2008-07-15 15:30:00	:V	17.81	17.83	16.82	17.11	84298752.00
2008-07-16 15:30:00	:V	17.08	18.14	16.63	18.06	92488768.00
2008-07-17 15:30:00	:V	18.43	18.77	17.84	18.77	67292096.00
2008-07-18 15:30:00	:V	18.56	18.62	18.03	18.35	46633360.00
2008-07-21 15:30:00	:V	18.48	18.73	17.89	17.97	52937080.00
2008-07-22 15:30:00	:V	17.40	18.56	16.97	18.51	65422908.00
2008-07-23 15:30:00	:V	18.38	18.75	18.15	18.31	49953592.00
2008-07-24 15:30:00	:V	18.23	18.43	17.49	17.52	36631952.00
2008-07-25 15:30:00	:V	17.63	18.09	17.27	17.99	38690420.00
2008-07-28 15:30:00	:V	18.10	18.40	17.56	17.64	35711204.00
2008-07-29 15:30:00	:V	17.76	18.99	17.75	18.99	49077704.00
2008-07-30 15:30:00	:V	19.31	19.72	18.57	19.61	76089088.00
2008-07-31 15:30:00	:V	19.05	19.54	17.87	18.27	148909504.00
2008-08-01 15:30:00	:V	18.32	18.53	17.59	17.93	61735672.00
2008-08-04 15:30:00	:V	17.94	18.40	17.88	18.12	42692376.00
2008-08-05 15:30:00	:V	18.30	18.56	18.08	18.40	34366704.00
2008-08-06 15:30:00	:V	18.20	18.20	17.77	17.87	40923672.00
2008-08-07 15:30:00	:V	17.70	17.81	17.34	17.38	43883736.00
2008-08-08 15:30:00	:V	17.44	18.21	17.28	18.15	36358704.00
2008-08-11 15:30:00	:V	18.11	19.12	17.99	18.70	55289876.00
2008-08-12 15:30:00	:V	18.55	18.70	18.15	18.20	33741704.00
2008-08-13 15:30:00	:V	18.19	18.54	18.12	18.48	29934968.00
2008-08-14 15:30:00	:V	18.47	18.95	18.40	18.95	25853920.00
2008-08-15 15:30:00	:V	19.00	19.13	18.71	18.95	26009220.00
2008-08-18 15:30:00	:V	18.91	19.06	18.54	18.73	25859280.00
2008-08-19 15:30:00	:V	18.61	18.81	18.40	18.44	21123108.00
2008-08-20 15:30:00	:V	18.53	18.68	18.41	18.64	18119408.00
2008-08-21 15:30:00	:V	18.49	18.66	18.30	18.59	15550500.00
2008-08-22 15:30:00	:V	18.84	18.95	18.46	18.52	20961812.00
2008-08-25 15:30:00	:V	18.38	18.72	18.28	18.33	18039908.00
2008-08-26 15:30:00	:V	18.42	18.57	18.22	18.34	18678624.00
2008-08-27 15:30:00	:V	18.26	18.62	18.21	18.61	19145952.00
2008-08-28 15:30:00	:V	18.69	18.95	18.54	18.91	26746500.00
2008-08-29 15:30:00	:V	18.74	19.00	18.68	18.97	19327936.00
2008-09-02 15:30:00	:V	19.21	19.38	18.60	18.75	29899780.00
2008-09-03 15:30:00	:V	18.64	18.84	18.02	18.26	35400484.00
2008-09-04 15:30:00	:V	18.13	18.16	17.44	17.62	37675936.00
2008-09-05 15:30:00	:V	17.49	18.00	17.31	17.94	40643548.00
2008-09-08 15:30:00	:V	18.38	18.57	17.17	17.53	56676064.00
2008-09-09 15:30:00	:V	17.59	17.59	16.79	16.87	49881608.00
2008-09-10 15:30:00	:V	16.82	17.47	16.66	17.26	43955376.00
2008-09-11 15:30:00	:V	16.85	17.84	16.76	17.74	47137672.00
2008-09-12 15:30:00	:V	17.48	17.91	17.31	17.91	28242220.00
2008-09-15 15:30:00	:V	17.16	17.75	17.06	17.34	38742124.00
2008-09-16 15:30:00	:V	16.66	17.24	16.25	16.59	83596160.00
2008-09-17 15:30:00	:V	16.45	16.99	16.00	16.02	67539008.00
2008-09-18 15:30:00	:V	16.05	16.81	14.60	16.72	84189120.00
2008-09-19 15:30:00	:V	17.75	17.79	16.76	17.39	68949120.00
2008-09-22 15:30:00	:V	17.23	17.25	16.22	16.29	46284296.00
2008-09-23 15:30:00	:V	16.46	16.87	16.03	16.72	43849860.00
2008-09-24 15:30:00	:V	16.76	16.93	16.38	16.42	24543204.00
2008-09-25 15:30:00	:V	16.44	16.62	16.13	16.15	23895188.00
2008-09-26 15:30:00	:V	15.68	15.85	15.20	15.51	51190860.00
2008-09-29 15:30:00	:V	15.07	15.12	13.97	14.45	78438848.00
2008-09-30 15:30:00	:V	14.10	15.36	14.10	15.35	38732252.00
2008-10-01 15:30:00	:V	15.19	15.53	14.80	15.33	27097436.00
2008-10-02 15:30:00	:V	15.37	15.37	14.33	14.40	35221312.00
2008-10-03 15:30:00	:V	14.77	15.04	14.08	14.21	60477328.00
2008-10-06 15:30:00	:V	13.36	14.01	12.56	13.85	87366528.00
2008-10-07 15:30:00	:V	14.00	14.11	12.65	12.79	75859776.00
2008-10-08 15:30:00	:V	12.25	13.61	11.94	13.16	75228032.00
2008-10-09 15:30:00	:V	13.45	13.98	12.35	12.46	42549312.00
2008-10-10 15:30:00	:V	11.75	13.49	11.75	13.00	75151168.00
2008-10-13 15:30:00	:V	13.75	14.75	13.40	14.72	49446752.00
2008-10-14 15:30:00	:V	15.50	15.53	13.81	14.40	53149092.00
2008-10-15 15:30:00	:V	13.88	14.00	12.13	12.44	76723136.00
2008-10-16 15:30:00	:V	12.54	13.33	12.01	13.27	56084188.00
2008-10-17 15:30:00	:V	12.88	13.77	12.88	13.05	35115892.00
2008-10-20 15:30:00	:V	13.33	13.46	12.78	13.00	35974548.00
2008-10-21 15:30:00	:V	12.84	13.27	12.57	12.68	29013936.00
2008-10-22 15:30:00	:V	12.49	13.00	12.00	12.13	40253108.00
2008-10-23 15:30:00	:V	12.19	12.39	11.44	12.08	47972172.00
2008-10-24 15:30:00	:V	10.95	12.12	10.94	11.99	40800108.00
2008-10-27 14:30:00	:V	11.75	12.30	11.61	11.65	41929328.00
2008-10-28 14:30:00	:V	11.97	12.89	11.76	12.49	58443564.00
2008-10-29 14:30:00	:V	12.60	13.38	12.38	12.67	56039752.00
2008-10-30 14:30:00	:V	12.65	14.04	12.64	13.56	74918336.00
2008-10-31 14:30:00	:V	13.47	14.02	13.25	13.84	40373908.00
2008-11-03 15:30:00	:V	13.98	14.03	12.98	13.12	28510548.00
2008-11-04 15:30:00	:V	13.60	15.11	13.47	14.95	73887360.00
2008-11-05 15:30:00	:V	14.57	14.80	14.11	14.12	45017360.00
2008-11-06 15:30:00	:V	13.76	14.00	12.69	12.88	52100764.00
2008-11-07 15:30:00	:V	13.11	13.70	12.83	13.38	30914828.00
2008-11-10 15:30:00	:V	13.82	13.82	12.80	13.00	26521408.00
2008-11-11 15:30:00	:V	12.75	13.75	12.59	13.45	32395796.00
2008-11-12 15:30:00	:V	13.11	13.91	12.79	12.94	42753360.00
2008-11-13 15:30:00	:V	12.97	13.64	12.47	13.61	38747280.00
2008-11-14 15:30:00	:V	13.28	14.25	13.11	13.56	37410220.00
2008-11-17 15:30:00	:V	13.28	13.56	12.91	13.19	29317484.00
2008-11-18 15:30:00	:V	13.20	13.77	13.15	13.66	31545220.00
2008-11-19 15:30:00	:V	13.50	13.96	12.81	12.89	34956092.00
2008-11-20 15:30:00	:V	12.55	12.82	12.00	12.04	50997032.00
2008-11-21 15:30:00	:V	12.40	12.40	10.88	11.60	84779584.00
2008-11-24 15:30:00	:V	11.90	12.50	11.45	12.43	44853920.00
2008-11-25 15:30:00	:V	12.59	12.74	12.25	12.38	44962376.00
2008-11-26 15:30:00	:V	12.20	13.00	12.05	13.00	27671672.00
2008-11-28 15:30:00	:V	12.93	13.19	12.79	13.14	12711616.00
2008-12-01 15:30:00	:V	12.75	12.79	11.92	12.01	30968892.00
2008-12-02 15:30:00	:V	12.17	12.44	11.88	12.42	26573344.00
2008-12-03 15:30:00	:V	12.03	13.19	12.03	13.11	36404920.00
2008-12-04 15:30:00	:V	12.98	13.19	12.55	12.70	30487204.00
2008-12-05 15:30:00	:V	12.44	13.37	12.12	13.29	41136892.00
2008-12-08 15:30:00	:V	13.60	14.42	13.49	14.04	53096704.00
2008-12-09 15:30:00	:V	13.88	14.11	13.28	13.38	32127436.00
2008-12-10 15:30:00	:V	13.29	13.46	12.74	13.29	30186436.00
2008-12-11 15:30:00	:V	13.10	13.65	12.93	13.02	30018532.00
2008-12-12 15:30:00	:V	12.63	13.48	12.62	13.24	25191360.00
2008-12-15 15:30:00	:V	13.20	13.44	12.94	13.19	21858640.00
2008-12-16 15:30:00	:V	13.32	13.70	13.19	13.69	30725736.00
2008-12-17 15:30:00	:V	13.57	14.00	13.52	13.84	25052984.00
2008-12-18 15:30:00	:V	13.84	14.05	13.52	13.68	30374752.00
2008-12-19 15:30:00	:V	13.63	14.06	13.45	13.74	35590580.00
2008-12-22 15:30:00	:V	13.71	13.81	13.24	13.44	14084044.00
2008-12-23 15:30:00	:V	13.38	13.60	13.28	13.41	10698380.00
2008-12-24 15:30:00	:V	13.36	13.44	13.16	13.22	6529216.00
2008-12-26 15:30:00	:V	13.20	13.37	12.98	13.31	6476824.00
2008-12-29 15:30:00	:V	13.26	13.40	12.98	13.04	13806928.00
2008-12-30 15:30:00	:V	13.05	13.05	12.57	12.75	17101484.00
2008-12-31 15:30:00	:V	12.65	13.19	12.65	13.11	16371228.00
2009-01-02 15:30:00	:V	13.23	13.43	13.06	13.36	13234064.00
2009-01-05 15:30:00	:V	13.25	13.82	13.25	13.46	16599984.00
2009-01-06 15:30:00	:V	13.62	14.49	13.62	14.40	32540672.00
2009-01-07 15:30:00	:V	14.17	14.49	14.00	14.09	28484140.00
2009-01-08 15:30:00	:V	14.00	14.07	13.32	13.94	34689140.00
2009-01-09 15:30:00	:V	14.01	14.08	13.70	13.90	16703172.00
