datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WAB	7.18	7.40	7.12	7.17	373800.00
2004-04-08 15:30:00	:WAB	7.22	7.22	7.02	7.04	214400.00
2004-04-12 15:30:00	:WAB	7.01	7.20	7.00	7.12	451000.00
2004-04-13 15:30:00	:WAB	7.12	7.12	6.84	6.92	312400.00
2004-04-14 15:30:00	:WAB	6.88	7.04	6.80	6.97	324000.00
2004-04-15 15:30:00	:WAB	6.97	7.08	6.96	7.03	305800.00
2004-04-16 15:30:00	:WAB	7.07	7.45	7.04	7.45	2524000.00
2004-04-19 15:30:00	:WAB	7.50	7.59	7.37	7.53	459000.00
2004-04-20 15:30:00	:WAB	7.62	7.75	7.34	7.35	1290800.00
2004-04-21 15:30:00	:WAB	7.35	7.50	7.12	7.49	444800.00
2004-04-22 15:30:00	:WAB	7.88	8.16	7.83	8.10	2159200.00
2004-04-23 15:30:00	:WAB	8.10	8.18	7.85	8.13	1027000.00
2004-04-26 15:30:00	:WAB	8.15	8.20	7.99	8.03	724600.00
2004-04-27 15:30:00	:WAB	8.01	8.12	8.00	8.10	386800.00
2004-04-28 15:30:00	:WAB	8.05	8.06	8.00	8.03	410600.00
2004-04-29 15:30:00	:WAB	8.10	8.18	8.00	8.06	528800.00
2004-04-30 15:30:00	:WAB	8.06	8.15	8.03	8.15	446000.00
2004-05-03 15:30:00	:WAB	8.15	8.35	8.12	8.32	572600.00
2004-05-04 15:30:00	:WAB	8.32	8.45	8.29	8.43	765600.00
2004-05-05 15:30:00	:WAB	8.43	8.43	8.28	8.28	616400.00
2004-05-06 15:30:00	:WAB	8.28	8.32	8.12	8.28	417600.00
2004-05-07 15:30:00	:WAB	8.26	8.30	8.10	8.12	470400.00
2004-05-10 15:30:00	:WAB	8.07	8.07	7.78	7.82	349400.00
2004-05-11 15:30:00	:WAB	7.92	8.04	7.85	8.00	231200.00
2004-05-12 15:30:00	:WAB	8.00	8.21	7.88	8.20	416000.00
