datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WAT	40.82	41.15	40.60	40.80	710500.00
2004-04-08 15:30:00	:WAT	40.90	41.39	40.57	40.85	794500.00
2004-04-12 15:30:00	:WAT	40.90	41.57	40.89	41.15	387700.00
2004-04-13 15:30:00	:WAT	41.15	41.17	39.88	40.04	610000.00
2004-04-14 15:30:00	:WAT	39.85	40.24	39.70	40.06	731400.00
2004-04-15 15:30:00	:WAT	40.22	40.30	39.68	39.94	567300.00
2004-04-16 15:30:00	:WAT	40.09	40.49	39.81	40.00	538300.00
2004-04-19 15:30:00	:WAT	40.04	40.18	39.85	39.98	764400.00
2004-04-20 15:30:00	:WAT	40.08	40.35	39.53	39.53	986500.00
2004-04-21 15:30:00	:WAT	39.63	40.00	39.45	39.91	754800.00
2004-04-22 15:30:00	:WAT	39.86	40.82	39.75	40.26	728900.00
2004-04-23 15:30:00	:WAT	40.36	40.36	39.54	39.70	528800.00
2004-04-26 15:30:00	:WAT	39.85	40.44	39.29	39.48	496500.00
2004-04-27 15:30:00	:WAT	39.50	40.07	39.16	39.28	437400.00
2004-04-28 15:30:00	:WAT	40.40	41.72	40.25	41.62	2647700.00
2004-04-29 15:30:00	:WAT	41.63	43.07	41.16	42.97	1375400.00
2004-04-30 15:30:00	:WAT	42.30	43.41	42.30	43.15	1268200.00
2004-05-03 15:30:00	:WAT	43.00	43.84	42.96	43.57	1207500.00
2004-05-04 15:30:00	:WAT	43.65	43.79	43.15	43.52	967900.00
2004-05-05 15:30:00	:WAT	43.52	43.70	43.40	43.48	1171900.00
2004-05-06 15:30:00	:WAT	43.43	43.44	42.50	42.90	565500.00
2004-05-07 15:30:00	:WAT	42.50	43.13	42.50	42.90	1149800.00
2004-05-10 15:30:00	:WAT	42.91	42.91	42.14	42.40	895600.00
2004-05-11 15:30:00	:WAT	42.40	42.95	42.40	42.95	563900.00
2004-05-12 15:30:00	:WAT	43.15	43.41	42.85	43.39	2037600.00
2004-05-13 15:30:00	:WAT	42.48	43.65	42.48	43.24	929400.00
2004-05-14 15:30:00	:WAT	43.35	44.18	43.26	43.97	1153000.00
2004-05-17 15:30:00	:WAT	43.98	44.27	43.50	44.12	1083600.00
2004-05-18 15:30:00	:WAT	44.32	44.68	44.25	44.62	1019800.00
2004-05-19 15:30:00	:WAT	45.00	46.12	44.99	45.29	2601200.00
2004-05-20 15:30:00	:WAT	45.40	45.81	45.35	45.63	1715000.00
2004-05-21 15:30:00	:WAT	45.75	46.05	45.60	45.80	687900.00
2004-05-24 15:30:00	:WAT	46.00	46.25	45.52	45.88	462500.00
2004-05-25 15:30:00	:WAT	45.88	46.13	45.59	46.01	968800.00
2004-05-26 15:30:00	:WAT	45.91	46.13	45.80	46.00	684400.00
2004-05-27 15:30:00	:WAT	46.00	46.13	45.86	46.05	831600.00
2004-05-28 15:30:00	:WAT	46.09	46.27	45.94	46.08	1006200.00
2004-06-01 15:30:00	:WAT	46.08	46.60	45.92	46.53	638900.00
2004-06-02 15:30:00	:WAT	46.95	47.00	46.40	46.40	669400.00
