datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WBA	33.72	33.85	33.50	33.52	3134900.00
2004-04-08 15:30:00	:WBA	33.77	33.77	32.98	33.11	2792600.00
2004-04-12 15:30:00	:WBA	32.94	33.50	32.73	33.37	3840400.00
2004-04-13 15:30:00	:WBA	33.38	33.68	33.03	33.15	3559100.00
2004-04-14 15:30:00	:WBA	32.90	33.11	32.71	32.85	2737800.00
2004-04-15 15:30:00	:WBA	32.85	32.97	32.75	32.84	2789100.00
2004-04-16 15:30:00	:WBA	33.18	33.18	32.77	32.82	2314400.00
2004-04-19 15:30:00	:WBA	32.70	32.81	32.46	32.65	2792000.00
2004-04-20 15:30:00	:WBA	32.90	33.43	32.52	32.52	3413600.00
2004-04-21 15:30:00	:WBA	32.54	32.79	32.49	32.65	2659200.00
2004-04-22 15:30:00	:WBA	32.50	33.40	32.40	32.82	2955400.00
2004-04-23 15:30:00	:WBA	32.77	33.15	32.63	32.93	1547200.00
2004-04-26 15:30:00	:WBA	33.35	33.75	32.84	33.40	2809200.00
2004-04-27 15:30:00	:WBA	33.68	34.63	33.55	34.25	4942301.00
2004-04-28 15:30:00	:WBA	34.05	34.23	33.92	33.97	2364700.00
2004-04-29 15:30:00	:WBA	33.95	34.58	33.80	34.02	2674800.00
2004-04-30 15:30:00	:WBA	34.05	34.65	33.85	34.48	3633300.00
2004-05-03 15:30:00	:WBA	34.85	35.09	34.81	35.01	4605801.00
2004-05-04 15:30:00	:WBA	35.10	35.25	34.80	35.02	4180500.00
2004-05-05 15:30:00	:WBA	34.90	35.15	34.64	35.07	2656800.00
2004-05-06 15:30:00	:WBA	35.07	35.07	34.36	34.72	2415800.00
2004-05-07 15:30:00	:WBA	34.47	34.97	34.41	34.55	2913700.00
2004-05-10 15:30:00	:WBA	34.22	34.83	34.22	34.42	3429500.00
2004-05-11 15:30:00	:WBA	34.30	34.53	33.80	33.88	3374900.00
2004-05-12 15:30:00	:WBA	33.85	34.75	33.43	33.91	3831700.00
2004-05-13 15:30:00	:WBA	33.80	34.04	33.60	33.73	3107800.00
2004-05-14 15:30:00	:WBA	33.67	33.95	33.30	33.60	2824200.00
2004-05-17 15:30:00	:WBA	33.46	33.70	33.28	33.55	3476700.00
2004-05-18 15:30:00	:WBA	33.55	34.28	33.55	34.01	2333500.00
2004-05-19 15:30:00	:WBA	34.27	34.73	33.68	33.68	3857200.00
2004-05-20 15:30:00	:WBA	33.68	34.00	33.58	33.66	2386300.00
2004-05-21 15:30:00	:WBA	33.70	34.15	33.61	33.83	1953600.00
2004-05-24 15:30:00	:WBA	34.00	34.29	33.99	34.19	2588000.00
2004-05-25 15:30:00	:WBA	34.25	35.04	34.08	34.95	2722000.00
2004-05-26 15:30:00	:WBA	34.76	34.96	34.27	34.57	2484900.00
2004-05-27 15:30:00	:WBA	34.75	35.54	34.59	35.23	3350100.00
2004-05-28 15:30:00	:WBA	35.11	35.24	34.93	35.01	1787600.00
2004-06-01 15:30:00	:WBA	35.05	35.20	34.57	35.19	2252600.00
2004-06-02 15:30:00	:WBA	35.10	35.11	34.52	34.80	3450000.00
2004-06-03 15:30:00	:WBA	34.58	35.04	34.55	34.55	2727900.00
2004-06-04 15:30:00	:WBA	34.70	34.75	34.27	34.38	2289100.00
2004-06-07 15:30:00	:WBA	34.50	34.84	34.26	34.77	1835200.00
2004-06-08 15:30:00	:WBA	34.50	35.00	34.50	35.00	1819200.00
2004-06-09 15:30:00	:WBA	35.00	35.15	34.57	34.65	1828700.00
2004-06-10 15:30:00	:WBA	34.80	34.80	34.30	34.62	2293000.00
2004-06-14 15:30:00	:WBA	34.37	34.90	34.35	34.72	2263100.00
2004-06-15 15:30:00	:WBA	34.93	34.95	34.67	34.83	3258000.00
2004-06-16 15:30:00	:WBA	34.95	34.97	34.50	34.93	1979600.00
2004-06-17 15:30:00	:WBA	34.94	34.94	34.68	34.88	1201100.00
2004-06-18 15:30:00	:WBA	34.88	34.90	34.54	34.90	3330500.00
2004-06-21 15:30:00	:WBA	35.01	35.98	35.01	35.77	5078199.00
2004-06-22 15:30:00	:WBA	35.83	36.20	35.65	36.18	2961500.00
2004-06-23 15:30:00	:WBA	36.18	36.35	35.86	36.25	2303500.00
2004-06-24 15:30:00	:WBA	36.20	36.45	36.01	36.15	2485600.00
2004-06-25 15:30:00	:WBA	36.33	36.44	35.82	35.90	2169600.00
2004-06-28 15:30:00	:WBA	35.94	36.66	35.86	36.27	2803900.00
2004-06-29 15:30:00	:WBA	36.31	36.64	36.21	36.21	2205700.00
2004-06-30 15:30:00	:WBA	36.40	36.40	35.92	36.21	2556400.00
