datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WHR	70.07	70.15	69.23	69.66	369300.00
2004-04-08 15:30:00	:WHR	70.36	70.36	67.92	68.52	514100.00
2004-04-12 15:30:00	:WHR	68.72	69.40	68.35	69.27	272300.00
2004-04-13 15:30:00	:WHR	69.40	69.75	66.75	67.21	731600.00
2004-04-14 15:30:00	:WHR	66.71	68.47	65.96	67.90	503100.00
2004-04-15 15:30:00	:WHR	67.82	68.53	67.55	68.33	495400.00
2004-04-16 15:30:00	:WHR	68.23	69.30	67.09	69.00	606100.00
2004-04-19 15:30:00	:WHR	68.75	68.85	67.37	68.27	457700.00
2004-04-20 15:30:00	:WHR	68.28	68.87	67.44	67.44	429100.00
2004-04-21 15:30:00	:WHR	68.05	68.50	65.37	66.75	1176000.00
2004-04-22 15:30:00	:WHR	66.40	70.15	66.21	69.34	1003300.00
2004-04-23 15:30:00	:WHR	69.41	69.66	68.50	69.21	563100.00
2004-04-26 15:30:00	:WHR	69.22	69.41	68.11	68.25	515100.00
2004-04-27 15:30:00	:WHR	68.40	68.75	67.81	68.26	351500.00
2004-04-28 15:30:00	:WHR	67.76	68.52	67.36	67.50	580500.00
2004-04-29 15:30:00	:WHR	67.25	67.40	64.90	65.71	871400.00
2004-04-30 15:30:00	:WHR	65.73	66.50	65.07	65.51	557700.00
2004-05-03 15:30:00	:WHR	65.51	66.35	65.28	66.14	402500.00
2004-05-04 15:30:00	:WHR	65.89	66.22	64.75	65.05	674600.00
2004-05-05 15:30:00	:WHR	65.06	65.59	64.39	65.20	627200.00
2004-05-06 15:30:00	:WHR	65.00	65.00	63.40	63.77	793200.00
2004-05-07 15:30:00	:WHR	63.77	63.77	62.00	62.09	1087100.00
2004-05-10 15:30:00	:WHR	61.89	62.65	61.05	62.10	930800.00
2004-05-11 15:30:00	:WHR	62.35	64.00	62.33	63.72	934800.00
2004-05-12 15:30:00	:WHR	63.50	64.25	62.47	64.12	1198100.00
2004-05-13 15:30:00	:WHR	64.12	64.98	63.51	64.44	979300.00
2004-05-14 15:30:00	:WHR	64.44	64.75	63.40	64.38	764700.00
2004-05-17 15:30:00	:WHR	63.90	64.30	63.50	64.00	857700.00
2004-05-18 15:30:00	:WHR	64.07	64.90	63.91	64.65	727000.00
2004-05-19 15:30:00	:WHR	65.05	65.65	63.31	63.53	814600.00
2004-05-20 15:30:00	:WHR	63.53	64.50	63.20	64.03	581700.00
