datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WMB	8.04	8.11	7.96	8.04	3921126.00
2004-04-08 15:30:00	:WMB	8.13	8.20	7.90	8.00	4400569.00
2004-04-12 15:30:00	:WMB	8.03	8.12	7.93	8.01	2977363.00
2004-04-13 15:30:00	:WMB	7.95	7.98	7.85	7.91	3801265.00
2004-04-14 15:30:00	:WMB	7.88	7.97	7.81	7.85	3055884.00
2004-04-15 15:30:00	:WMB	8.08	8.24	8.06	8.12	8203224.00
2004-04-16 15:30:00	:WMB	8.20	8.24	8.11	8.18	8592047.00
2004-04-19 15:30:00	:WMB	8.09	8.17	8.02	8.14	4255123.00
2004-04-20 15:30:00	:WMB	8.05	8.16	7.93	7.98	4370572.00
2004-04-21 15:30:00	:WMB	7.98	8.04	7.90	7.92	3285523.00
2004-04-22 15:30:00	:WMB	7.93	8.10	7.92	8.04	3166544.00
2004-04-23 15:30:00	:WMB	7.99	8.24	7.98	8.23	3071891.00
2004-04-26 15:30:00	:WMB	8.24	8.32	8.23	8.24	3206372.00
2004-04-27 15:30:00	:WMB	8.28	8.40	8.26	8.32	3538478.00
2004-04-28 15:30:00	:WMB	8.39	8.41	8.25	8.34	2705376.00
2004-04-29 15:30:00	:WMB	8.31	8.35	8.19	8.25	5663707.00
2004-04-30 15:30:00	:WMB	8.25	8.25	8.08	8.17	4585969.00
2004-05-03 15:30:00	:WMB	8.12	8.33	8.07	8.33	3572256.00
2004-05-04 15:30:00	:WMB	8.27	8.69	8.25	8.62	8378788.00
2004-05-05 15:30:00	:WMB	8.69	8.93	8.58	8.68	7676892.00
2004-05-06 15:30:00	:WMB	8.61	8.63	8.18	8.53	8453278.00
2004-05-07 15:30:00	:WMB	8.41	8.53	8.18	8.24	3592800.00
2004-05-10 15:30:00	:WMB	8.33	8.46	8.04	8.16	8241408.00
2004-05-11 15:30:00	:WMB	8.16	8.61	8.15	8.41	6822614.00
2004-05-12 15:30:00	:WMB	8.44	8.45	8.21	8.41	4249451.00
2004-05-13 15:30:00	:WMB	8.42	8.87	8.41	8.75	8278968.00
2004-05-14 15:30:00	:WMB	8.76	8.91	8.69	8.86	4247435.00
2004-05-17 15:30:00	:WMB	8.77	8.80	8.55	8.66	4465604.00
2004-05-18 15:30:00	:WMB	8.68	8.74	8.57	8.70	3612084.00
2004-05-19 15:30:00	:WMB	8.72	8.74	8.62	8.64	3621032.00
2004-05-20 15:30:00	:WMB	8.58	8.66	8.55	8.62	2273575.00
2004-05-21 15:30:00	:WMB	8.69	8.75	8.52	8.59	3316654.00
2004-05-24 15:30:00	:WMB	8.62	8.88	8.62	8.81	3829497.00
2004-05-25 15:30:00	:WMB	8.81	9.51	8.78	9.47	12609085.00
2004-05-26 15:30:00	:WMB	9.47	9.48	9.28	9.31	4784855.00
2004-05-27 15:30:00	:WMB	9.32	9.48	9.28	9.47	4262811.00
