datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WM	30.64	30.64	30.18	30.31	1153100.00
2004-04-08 15:30:00	:WM	30.50	30.71	30.15	30.17	1497800.00
2004-04-12 15:30:00	:WM	30.17	30.48	30.15	30.30	832600.00
2004-04-13 15:30:00	:WM	30.32	30.41	29.90	30.03	1423800.00
2004-04-14 15:30:00	:WM	30.03	30.19	29.87	29.97	1046600.00
2004-04-15 15:30:00	:WM	30.02	30.15	29.58	29.78	1514900.00
2004-04-16 15:30:00	:WM	29.85	29.85	29.58	29.69	1844600.00
2004-04-19 15:30:00	:WM	29.70	30.05	29.65	30.04	2100100.00
2004-04-20 15:30:00	:WM	29.99	30.08	29.88	29.93	3174200.00
2004-04-21 15:30:00	:WM	29.93	30.05	29.73	29.74	2256200.00
2004-04-22 15:30:00	:WM	29.95	30.17	29.68	29.95	2949700.00
2004-04-23 15:30:00	:WM	30.00	30.07	29.70	29.78	1678200.00
2004-04-26 15:30:00	:WM	29.86	30.00	29.62	29.78	864500.00
2004-04-27 15:30:00	:WM	29.83	30.10	29.66	29.72	1518400.00
2004-04-28 15:30:00	:WM	29.72	29.75	29.38	29.66	1631300.00
2004-04-29 15:30:00	:WM	29.66	29.66	28.76	28.95	2523700.00
2004-04-30 15:30:00	:WM	28.85	29.02	28.29	28.40	2348300.00
2004-05-03 15:30:00	:WM	28.39	28.85	28.15	28.67	3256800.00
2004-05-04 15:30:00	:WM	28.80	29.15	28.79	28.96	2207800.00
2004-05-05 15:30:00	:WM	28.90	29.08	28.76	29.04	1070400.00
2004-05-06 15:30:00	:WM	29.00	29.08	28.54	28.80	1276200.00
2004-05-07 15:30:00	:WM	28.70	28.91	28.38	28.46	1272700.00
2004-05-10 15:30:00	:WM	28.23	28.62	27.80	28.26	1507900.00
2004-05-11 15:30:00	:WM	28.18	28.30	27.78	28.25	1855800.00
2004-05-12 15:30:00	:WM	28.15	28.16	27.75	28.10	1240900.00
2004-05-13 15:30:00	:WM	27.92	28.11	27.60	27.99	1257400.00
2004-05-14 15:30:00	:WM	28.05	28.60	28.02	28.46	1684300.00
2004-05-17 15:30:00	:WM	28.38	28.38	27.65	27.75	1160800.00
2004-05-18 15:30:00	:WM	27.85	28.05	27.63	27.94	1024500.00
2004-05-19 15:30:00	:WM	28.10	28.52	27.74	27.77	1900600.00
2004-05-20 15:30:00	:WM	27.98	28.19	27.86	27.92	1750400.00
2004-05-21 15:30:00	:WM	28.00	28.35	27.88	28.31	1385300.00
2004-05-24 15:30:00	:WM	28.49	28.73	28.05	28.12	1177800.00
2004-05-25 15:30:00	:WM	28.23	28.88	28.10	28.67	1551300.00
2004-05-26 15:30:00	:WM	28.77	29.07	28.70	29.00	1489100.00
2004-05-27 15:30:00	:WM	28.95	29.37	28.93	29.11	1243700.00
2004-05-28 15:30:00	:WM	29.21	29.25	28.58	28.76	1223500.00
2004-06-01 15:30:00	:WM	28.76	28.79	28.11	28.32	2137300.00
2004-06-02 15:30:00	:WM	28.55	28.73	28.18	28.68	1430200.00
2004-06-03 15:30:00	:WM	28.68	28.78	28.12	28.22	1690600.00
2004-06-04 15:30:00	:WM	28.40	28.69	28.26	28.45	1462500.00
2004-06-07 15:30:00	:WM	28.65	29.09	28.60	29.05	1126300.00
2004-06-08 15:30:00	:WM	29.05	29.58	28.94	29.58	2310500.00
2004-06-09 15:30:00	:WM	29.54	29.60	29.30	29.48	1539900.00
2004-06-10 15:30:00	:WM	29.73	29.95	29.48	29.66	1912300.00
2004-06-14 15:30:00	:WM	29.50	29.70	29.39	29.52	1160500.00
2004-06-15 15:30:00	:WM	29.73	29.80	29.34	29.49	2226100.00
2004-06-16 15:30:00	:WM	29.60	29.84	29.57	29.71	1722200.00
2004-06-17 15:30:00	:WM	29.75	29.82	29.45	29.59	1823600.00
2004-06-18 15:30:00	:WM	29.58	29.64	29.25	29.44	1760200.00
2004-06-21 15:30:00	:WM	29.42	29.68	29.36	29.41	1741900.00
2004-06-22 15:30:00	:WM	29.49	29.81	29.45	29.72	1496600.00
2004-06-23 15:30:00	:WM	29.70	29.91	29.53	29.84	1777500.00
2004-06-24 15:30:00	:WM	29.84	30.17	29.73	29.98	3162400.00
2004-06-25 15:30:00	:WM	30.00	30.00	29.20	29.70	3304600.00
2004-06-28 15:30:00	:WM	29.85	30.20	29.46	30.12	4120000.00
2004-06-29 15:30:00	:WM	30.12	30.73	30.12	30.73	2626600.00
2004-06-30 15:30:00	:WM	30.73	30.75	30.18	30.65	2218100.00
2004-07-01 15:30:00	:WM	30.65	30.66	29.53	29.88	2396800.00
2004-07-02 15:30:00	:WM	29.75	29.79	29.45	29.73	1027400.00
2004-07-06 15:30:00	:WM	29.50	30.16	29.36	30.05	2395600.00
2004-07-07 15:30:00	:WM	29.90	30.10	29.65	30.06	1613200.00
2004-07-08 15:30:00	:WM	30.07	30.23	29.60	29.65	1619500.00
2004-07-09 15:30:00	:WM	29.70	29.73	28.85	28.95	2293700.00
2004-07-12 15:30:00	:WM	29.04	29.86	28.99	29.72	1692300.00
2004-07-13 15:30:00	:WM	29.73	29.95	29.31	29.80	1225000.00
2004-07-14 15:30:00	:WM	29.77	29.80	29.15	29.34	1392100.00
2004-07-15 15:30:00	:WM	29.33	29.67	29.15	29.44	864800.00
2004-07-16 15:30:00	:WM	29.69	29.72	29.12	29.17	1050900.00
2004-07-19 15:30:00	:WM	29.25	29.44	29.00	29.19	666100.00
2004-07-20 15:30:00	:WM	29.12	29.42	28.98	29.32	968700.00
2004-07-21 15:30:00	:WM	29.48	29.60	28.72	28.72	1152700.00
2004-07-22 15:30:00	:WM	28.50	28.71	28.32	28.51	1816500.00
2004-07-23 15:30:00	:WM	28.56	28.77	28.32	28.48	934000.00
2004-07-26 15:30:00	:WM	28.48	28.76	28.44	28.52	1263200.00
2004-07-27 15:30:00	:WM	28.55	28.77	28.30	28.50	1047100.00
2004-07-28 15:30:00	:WM	28.51	28.51	27.13	28.14	3170500.00
2004-07-29 15:30:00	:WM	28.98	29.05	27.76	28.15	2979600.00
2004-07-30 15:30:00	:WM	28.15	28.39	27.92	28.14	2106900.00
2004-08-02 15:30:00	:WM	28.00	28.47	27.69	28.41	1329600.00
2004-08-03 15:30:00	:WM	28.40	28.52	27.83	27.85	1987600.00
2004-08-04 15:30:00	:WM	27.83	27.85	27.39	27.66	1357700.00
2004-08-05 15:30:00	:WM	27.70	27.82	27.10	27.11	1635100.00
2004-08-06 15:30:00	:WM	27.03	27.04	26.40	26.60	2486000.00
