datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WRB	8.47	8.49	8.41	8.45	2287713.00
2004-04-08 15:30:00	:WRB	8.49	8.55	8.45	8.49	1355211.00
2004-04-12 15:30:00	:WRB	8.50	8.60	8.41	8.44	1682751.00
2004-04-13 15:30:00	:WRB	8.49	8.50	8.32	8.33	1026153.00
2004-04-14 15:30:00	:WRB	8.31	8.34	8.08	8.09	2454270.00
2004-04-15 15:30:00	:WRB	8.11	8.18	8.10	8.18	1110696.00
2004-04-16 15:30:00	:WRB	8.14	8.23	8.14	8.21	1464054.00
2004-04-19 15:30:00	:WRB	8.17	8.33	8.16	8.28	1416467.00
2004-04-20 15:30:00	:WRB	8.30	8.34	8.13	8.13	931991.00
2004-04-21 15:30:00	:WRB	8.12	8.22	8.11	8.19	1104621.00
2004-04-22 15:30:00	:WRB	8.21	8.31	8.10	8.29	1165878.00
2004-04-23 15:30:00	:WRB	8.25	8.28	8.16	8.23	667229.00
2004-04-26 15:30:00	:WRB	8.21	8.28	8.10	8.15	1770333.00
2004-04-27 15:30:00	:WRB	8.20	8.26	8.07	8.07	2184441.00
2004-04-28 15:30:00	:WRB	8.05	8.09	7.92	8.00	2902803.00
2004-04-29 15:30:00	:WRB	8.00	8.08	7.86	7.96	2072559.00
2004-04-30 15:30:00	:WRB	8.00	8.06	7.96	8.00	2257338.00
2004-05-03 15:30:00	:WRB	8.01	8.17	7.96	8.12	3284005.00
2004-05-04 15:30:00	:WRB	8.16	8.16	8.04	8.06	2448700.00
2004-05-05 15:30:00	:WRB	8.08	8.10	7.96	7.97	2309988.00
2004-05-06 15:30:00	:WRB	7.98	7.99	7.82	7.96	1651871.00
2004-05-07 15:30:00	:WRB	7.92	8.01	7.80	7.80	2123691.00
2004-05-10 15:30:00	:WRB	7.81	7.87	7.62	7.81	2930644.00
2004-05-11 15:30:00	:WRB	7.86	7.89	7.77	7.79	1201316.00
2004-05-12 15:30:00	:WRB	7.79	7.79	7.56	7.68	3522950.00
2004-05-13 15:30:00	:WRB	7.69	7.93	7.68	7.85	2499325.00
2004-05-14 15:30:00	:WRB	7.81	7.97	7.77	7.87	2936212.00
2004-05-17 15:30:00	:WRB	7.82	7.84	7.66	7.72	1229159.00
2004-05-18 15:30:00	:WRB	7.72	7.88	7.71	7.85	1880696.00
2004-05-19 15:30:00	:WRB	7.88	7.96	7.71	7.71	1204859.00
2004-05-20 15:30:00	:WRB	7.71	7.82	7.71	7.77	1338509.00
2004-05-21 15:30:00	:WRB	7.76	7.92	7.76	7.86	1531385.00
2004-05-24 15:30:00	:WRB	7.91	7.92	7.85	7.90	1058046.00
2004-05-25 15:30:00	:WRB	7.87	8.03	7.86	8.01	1497467.00
2004-05-26 15:30:00	:WRB	8.00	8.11	7.99	8.11	1999158.00
2004-05-27 15:30:00	:WRB	8.11	8.22	8.09	8.21	1692876.00
2004-05-28 15:30:00	:WRB	8.23	8.26	8.17	8.23	1682751.00
2004-06-01 15:30:00	:WRB	8.23	8.23	8.15	8.22	1331928.00
2004-06-02 15:30:00	:WRB	8.25	8.30	8.23	8.24	871243.00
2004-06-03 15:30:00	:WRB	8.24	8.25	8.16	8.21	1285859.00
2004-06-04 15:30:00	:WRB	8.22	8.41	8.22	8.37	1799696.00
2004-06-07 15:30:00	:WRB	8.41	8.46	8.36	8.42	1268141.00
2004-06-08 15:30:00	:WRB	8.39	8.41	8.36	8.40	818593.00
2004-06-09 15:30:00	:WRB	8.38	8.41	8.34	8.34	735568.00
2004-06-10 15:30:00	:WRB	8.34	8.44	8.34	8.41	1249409.00
2004-06-14 15:30:00	:WRB	8.41	8.43	8.27	8.27	862637.00
2004-06-15 15:30:00	:WRB	8.28	8.40	8.28	8.36	1336991.00
2004-06-16 15:30:00	:WRB	8.38	8.42	8.30	8.34	794293.00
2004-06-17 15:30:00	:WRB	8.35	8.45	8.28	8.42	937054.00
2004-06-18 15:30:00	:WRB	8.38	8.53	8.38	8.51	1380524.00
2004-06-21 15:30:00	:WRB	8.56	8.58	8.39	8.42	1718696.00
2004-06-22 15:30:00	:WRB	8.44	8.54	8.36	8.54	1569354.00
2004-06-23 15:30:00	:WRB	8.54	8.55	8.46	8.53	1184609.00
2004-06-24 15:30:00	:WRB	8.54	8.61	8.47	8.48	896555.00
2004-06-25 15:30:00	:WRB	8.49	8.63	8.48	8.57	1712621.00
2004-06-28 15:30:00	:WRB	8.58	8.65	8.50	8.52	1194734.00
2004-06-29 15:30:00	:WRB	8.53	8.59	8.47	8.52	1169421.00
2004-06-30 15:30:00	:WRB	8.52	8.52	8.37	8.48	2606650.00
2004-07-01 15:30:00	:WRB	8.47	8.53	8.37	8.39	1974351.00
2004-07-02 15:30:00	:WRB	8.40	8.40	8.29	8.34	1920183.00
2004-07-06 15:30:00	:WRB	8.32	8.38	8.31	8.31	1530879.00
2004-07-07 15:30:00	:WRB	8.32	8.41	8.32	8.41	1260041.00
2004-07-08 15:30:00	:WRB	8.39	8.47	8.38	8.43	1290921.00
2004-07-09 15:30:00	:WRB	8.43	8.48	8.41	8.45	1178028.00
2004-07-12 15:30:00	:WRB	8.46	8.57	8.43	8.54	1164359.00
2004-07-13 15:30:00	:WRB	8.56	8.61	8.55	8.60	1687308.00
2004-07-14 15:30:00	:WRB	8.63	8.71	8.58	8.67	1867533.00
2004-07-15 15:30:00	:WRB	8.69	8.70	8.63	8.68	1983464.00
2004-07-16 15:30:00	:WRB	8.70	8.72	8.65	8.65	1233209.00
2004-07-19 15:30:00	:WRB	8.65	8.69	8.60	8.65	1118291.00
2004-07-20 15:30:00	:WRB	8.65	8.66	8.08	8.11	9431839.00
2004-07-21 15:30:00	:WRB	8.11	8.20	7.91	7.95	4082856.00
2004-07-22 15:30:00	:WRB	7.95	7.96	7.68	7.85	5436048.00
2004-07-23 15:30:00	:WRB	7.84	7.89	7.71	7.77	1669083.00
2004-07-26 15:30:00	:WRB	7.77	7.92	7.76	7.91	2602095.00
2004-07-27 15:30:00	:WRB	7.89	7.90	7.70	7.84	4217012.00
2004-07-28 15:30:00	:WRB	7.88	8.15	7.88	8.13	4657446.00
2004-07-29 15:30:00	:WRB	8.17	8.27	8.12	8.14	2992912.00
2004-07-30 15:30:00	:WRB	8.14	8.23	8.07	8.09	2521600.00
2004-08-02 15:30:00	:WRB	8.12	8.12	8.05	8.11	3224267.00
2004-08-03 15:30:00	:WRB	8.16	8.26	8.12	8.21	2039653.00
2004-08-04 15:30:00	:WRB	8.22	8.23	8.09	8.12	2299863.00
