datetime	symbol	open	high	low	close	volume
2015-06-24 15:30:00	:WRK	57.23	57.23	57.17	57.17	3658.00
2015-06-25 15:30:00	:WRK	56.74	56.74	55.84	55.84	4101.00
2015-06-29 15:30:00	:WRK	54.95	54.95	54.84	54.84	332.00
2015-06-30 15:30:00	:WRK	55.32	55.38	54.42	54.93	2012743.00
2015-07-01 15:30:00	:WRK	54.79	56.29	54.69	56.29	213273.00
2015-07-02 15:30:00	:WRK	56.83	58.63	56.29	58.62	1934530.00
2015-07-06 15:30:00	:WRK	58.74	59.89	56.82	57.50	2319521.00
2015-07-07 15:30:00	:WRK	57.65	57.72	55.51	56.35	3384760.00
2015-07-08 15:30:00	:WRK	56.38	57.64	53.67	53.86	4195344.00
2015-07-09 15:30:00	:WRK	53.67	54.96	52.78	53.68	2532342.00
2015-07-10 15:30:00	:WRK	54.09	55.56	53.58	55.38	2480765.00
2015-07-13 15:30:00	:WRK	55.96	56.15	55.57	56.03	1384654.00
2015-07-14 15:30:00	:WRK	56.02	56.87	55.42	56.10	1102865.00
2015-07-15 15:30:00	:WRK	56.15	56.76	55.14	55.58	1341270.00
2015-07-16 15:30:00	:WRK	55.65	57.44	55.51	56.21	1514225.00
2015-07-17 15:30:00	:WRK	56.48	57.05	55.60	55.70	1344937.00
2015-07-20 15:30:00	:WRK	55.93	56.76	55.47	55.52	2192604.00
2015-07-21 15:30:00	:WRK	55.78	56.70	53.78	53.99	2004698.00
2015-07-22 15:30:00	:WRK	54.44	55.15	53.73	54.25	997906.00
2015-07-23 15:30:00	:WRK	53.91	54.82	53.53	53.99	1246835.00
2015-07-24 15:30:00	:WRK	53.72	54.08	52.01	53.14	1280023.00
2015-07-27 15:30:00	:WRK	52.72	53.60	52.20	52.49	1391486.00
2015-07-28 15:30:00	:WRK	52.79	53.90	51.86	53.53	1814443.00
2015-07-29 15:30:00	:WRK	53.11	53.88	52.39	53.57	1984658.00
2015-07-30 15:30:00	:WRK	55.35	57.00	55.06	56.67	3913584.00
2015-07-31 15:30:00	:WRK	55.47	57.50	55.17	56.88	1801425.00
2015-08-03 15:30:00	:WRK	57.16	58.40	56.28	56.98	2359196.00
2015-08-04 15:30:00	:WRK	56.15	57.23	56.14	56.44	779318.00
