datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WST	9.53	9.64	9.53	9.63	127600.00
2004-04-08 15:30:00	:WST	9.61	9.70	9.60	9.70	167200.00
2004-04-12 15:30:00	:WST	9.66	9.71	9.61	9.68	546800.00
2004-04-13 15:30:00	:WST	9.67	9.81	9.66	9.77	338000.00
2004-04-14 15:30:00	:WST	9.77	9.80	9.75	9.77	253600.00
2004-04-15 15:30:00	:WST	9.77	9.79	9.75	9.78	159200.00
2004-04-16 15:30:00	:WST	9.75	9.76	9.73	9.75	218000.00
2004-04-19 15:30:00	:WST	9.68	9.75	9.66	9.75	136400.00
2004-04-20 15:30:00	:WST	9.75	9.81	9.71	9.80	183600.00
2004-04-21 15:30:00	:WST	9.79	9.85	9.76	9.85	294000.00
2004-04-22 15:30:00	:WST	9.85	9.85	9.75	9.84	396000.00
2004-04-23 15:30:00	:WST	9.78	9.80	9.76	9.79	115200.00
2004-04-26 15:30:00	:WST	9.78	9.82	9.78	9.79	144000.00
2004-04-27 15:30:00	:WST	9.79	9.81	9.76	9.81	236000.00
2004-04-28 15:30:00	:WST	9.79	9.79	9.75	9.76	148000.00
2004-04-29 15:30:00	:WST	9.65	9.71	9.64	9.69	201200.00
2004-04-30 15:30:00	:WST	9.70	9.81	9.68	9.70	129600.00
2004-05-03 15:30:00	:WST	9.69	9.72	9.66	9.69	86000.00
2004-05-04 15:30:00	:WST	9.68	9.72	9.65	9.71	131200.00
2004-05-05 15:30:00	:WST	9.70	9.72	9.64	9.69	133200.00
2004-05-06 15:30:00	:WST	9.66	9.72	9.55	9.70	137600.00
2004-05-07 15:30:00	:WST	9.68	9.72	9.50	9.62	187200.00
2004-05-10 15:30:00	:WST	9.60	9.60	9.45	9.45	170800.00
2004-05-11 15:30:00	:WST	9.44	9.51	9.41	9.43	67200.00
2004-05-12 15:30:00	:WST	9.41	9.64	9.23	9.64	133200.00
2004-05-13 15:30:00	:WST	9.64	9.64	9.47	9.50	83200.00
