datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:WYNN	37.53	37.54	36.70	37.09	431515.00
2004-04-08 15:30:00	:WYNN	37.03	37.39	36.32	36.84	245261.00
2004-04-12 15:30:00	:WYNN	37.29	37.74	36.51	37.17	275111.00
2004-04-13 15:30:00	:WYNN	37.35	37.76	36.66	36.71	339225.00
2004-04-14 15:30:00	:WYNN	36.32	37.40	36.05	36.62	260495.00
2004-04-15 15:30:00	:WYNN	36.70	37.11	34.93	35.35	501766.00
2004-04-16 15:30:00	:WYNN	35.35	36.42	34.96	36.42	277433.00
2004-04-19 15:30:00	:WYNN	36.33	37.00	36.25	36.96	124785.00
2004-04-20 15:30:00	:WYNN	36.77	37.60	36.65	37.08	292110.00
2004-04-21 15:30:00	:WYNN	37.25	37.43	36.90	37.25	266958.00
2004-04-22 15:30:00	:WYNN	37.27	39.17	37.15	39.00	599750.00
2004-04-23 15:30:00	:WYNN	38.94	39.32	38.83	39.22	429878.00
2004-04-26 15:30:00	:WYNN	39.23	40.28	39.16	39.89	529533.00
2004-04-27 15:30:00	:WYNN	39.76	40.20	39.67	39.85	419839.00
2004-04-28 15:30:00	:WYNN	39.85	39.87	38.79	38.97	931722.00
2004-04-29 15:30:00	:WYNN	38.85	39.92	38.85	39.85	390559.00
2004-04-30 15:30:00	:WYNN	40.13	40.90	39.41	39.93	775986.00
2004-05-03 15:30:00	:WYNN	40.56	42.08	39.84	41.59	1180686.00
2004-05-04 15:30:00	:WYNN	41.49	42.16	39.85	40.00	1218895.00
2004-05-05 15:30:00	:WYNN	40.33	41.04	40.16	40.75	463935.00
2004-05-06 15:30:00	:WYNN	40.75	40.75	39.86	40.27	411122.00
2004-05-07 15:30:00	:WYNN	38.49	38.73	37.91	38.25	1855426.00
2004-05-10 15:30:00	:WYNN	38.20	38.25	35.82	36.82	1351733.00
2004-05-11 15:30:00	:WYNN	37.00	37.85	36.84	37.84	780661.00
2004-05-12 15:30:00	:WYNN	37.86	38.49	36.97	38.32	728620.00
2004-05-13 15:30:00	:WYNN	38.37	38.42	37.60	38.15	743420.00
2004-05-14 15:30:00	:WYNN	38.40	38.45	37.45	37.87	283368.00
2004-05-17 15:30:00	:WYNN	37.55	37.80	36.54	37.24	619481.00
2004-05-18 15:30:00	:WYNN	37.90	39.00	37.60	38.84	811242.00
2004-05-19 15:30:00	:WYNN	39.34	41.00	39.25	39.58	1148357.00
2004-05-20 15:30:00	:WYNN	39.41	40.50	39.41	40.38	762158.00
2004-05-21 15:30:00	:WYNN	40.64	40.83	40.14	40.32	411298.00
2004-05-24 15:30:00	:WYNN	40.84	41.49	39.80	40.43	930271.00
2004-05-25 15:30:00	:WYNN	40.60	40.85	40.21	40.50	768339.00
2004-05-26 15:30:00	:WYNN	39.77	40.56	38.74	39.00	1071899.00
2004-05-27 15:30:00	:WYNN	39.03	39.25	37.61	38.47	1333121.00
2004-05-28 15:30:00	:WYNN	38.47	39.62	38.31	38.66	539497.00
2004-06-01 15:30:00	:WYNN	38.75	40.19	38.71	39.96	1389445.00
2004-06-02 15:30:00	:WYNN	40.20	40.70	39.36	40.07	613502.00
2004-06-03 15:30:00	:WYNN	40.10	40.15	39.68	39.90	427701.00
2004-06-04 15:30:00	:WYNN	40.05	40.60	39.61	40.60	803021.00
2004-06-07 15:30:00	:WYNN	42.35	43.32	40.48	43.16	3047448.00
2004-06-08 15:30:00	:WYNN	43.12	43.45	42.66	43.15	508662.00
2004-06-09 15:30:00	:WYNN	43.19	43.77	42.50	43.02	676417.00
2004-06-10 15:30:00	:WYNN	43.06	43.30	41.40	41.57	521642.00
2004-06-14 15:30:00	:WYNN	41.50	41.60	40.12	40.26	930983.00
2004-06-15 15:30:00	:WYNN	40.26	40.48	39.80	39.91	1167963.00
2004-06-16 15:30:00	:WYNN	40.00	40.00	38.99	39.07	522443.00
2004-06-17 15:30:00	:WYNN	39.05	39.28	38.29	38.50	417264.00
2004-06-18 15:30:00	:WYNN	38.24	38.70	38.16	38.31	405204.00
2004-06-21 15:30:00	:WYNN	38.65	38.65	37.40	37.47	776607.00
2004-06-22 15:30:00	:WYNN	37.42	37.48	36.92	37.19	526003.00
2004-06-23 15:30:00	:WYNN	37.39	37.83	37.01	37.80	445218.00
2004-06-24 15:30:00	:WYNN	37.80	38.40	37.42	37.68	292649.00
2004-06-25 15:30:00	:WYNN	37.92	38.83	37.81	38.41	622748.00
2004-06-28 15:30:00	:WYNN	38.53	39.51	38.25	38.45	425711.00
2004-06-29 15:30:00	:WYNN	38.78	39.44	38.50	39.13	353719.00
2004-06-30 15:30:00	:WYNN	39.00	39.22	38.61	38.63	221424.00
2004-07-01 15:30:00	:WYNN	38.80	38.80	38.05	38.39	272024.00
2004-07-02 15:30:00	:WYNN	38.00	38.25	37.81	37.81	201561.00
2004-07-06 15:30:00	:WYNN	38.15	38.15	37.63	37.79	212119.00
2004-07-07 15:30:00	:WYNN	37.86	38.05	37.50	37.68	200040.00
2004-07-08 15:30:00	:WYNN	37.83	37.83	36.15	36.61	472169.00
2004-07-09 15:30:00	:WYNN	36.50	36.76	35.88	36.19	297831.00
2004-07-12 15:30:00	:WYNN	36.10	36.50	35.75	36.30	244824.00
2004-07-13 15:30:00	:WYNN	36.07	36.54	36.07	36.41	293786.00
