datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:YUM	14.02	14.03	13.85	13.94	1817387.00
2004-04-08 15:30:00	:YUM	14.03	14.09	13.92	14.03	2651817.00
2004-04-12 15:30:00	:YUM	13.90	14.16	13.90	14.06	2333621.00
2004-04-13 15:30:00	:YUM	14.15	14.18	13.70	13.72	3519624.00
2004-04-14 15:30:00	:YUM	13.63	13.64	13.32	13.59	4284518.00
2004-04-15 15:30:00	:YUM	13.59	13.59	13.31	13.48	2875166.00
2004-04-16 15:30:00	:YUM	13.57	13.95	13.51	13.80	2375621.00
2004-04-19 15:30:00	:YUM	13.69	13.74	13.51	13.58	2591738.00
2004-04-20 15:30:00	:YUM	13.66	13.81	13.14	13.16	4537628.00
2004-04-21 15:30:00	:YUM	13.16	13.16	12.84	12.98	5666055.00
2004-04-22 15:30:00	:YUM	13.16	14.44	13.16	14.20	11627493.00
2004-04-23 15:30:00	:YUM	14.20	14.20	13.85	14.04	3283480.00
2004-04-26 15:30:00	:YUM	14.05	14.06	13.78	14.00	3128833.00
2004-04-27 15:30:00	:YUM	13.95	14.29	13.88	13.95	4754024.00
2004-04-28 15:30:00	:YUM	13.93	14.19	13.87	13.90	4604382.00
2004-04-29 15:30:00	:YUM	13.96	14.19	13.78	13.90	3731013.00
2004-04-30 15:30:00	:YUM	13.92	14.02	13.73	13.95	3033151.00
2004-05-03 15:30:00	:YUM	13.87	14.16	13.60	14.12	4849149.00
2004-05-04 15:30:00	:YUM	14.03	14.13	13.88	13.94	3916534.00
2004-05-05 15:30:00	:YUM	13.86	14.08	13.84	14.06	2666280.00
2004-05-06 15:30:00	:YUM	13.91	14.02	13.84	13.95	2244615.00
2004-05-07 15:30:00	:YUM	13.80	13.92	13.58	13.58	2195662.00
2004-05-10 15:30:00	:YUM	13.43	13.69	13.37	13.50	3383056.00
2004-05-11 15:30:00	:YUM	13.49	13.66	13.42	13.57	2245728.00
2004-05-12 15:30:00	:YUM	13.48	13.51	13.09	13.41	2891576.00
2004-05-13 15:30:00	:YUM	13.30	13.33	12.94	13.05	5475805.00
2004-05-14 15:30:00	:YUM	12.95	13.23	12.95	13.06	4515099.00
2004-05-17 15:30:00	:YUM	12.97	13.12	12.70	13.03	3028701.00
2004-05-18 15:30:00	:YUM	13.00	13.18	12.99	13.17	2148934.00
2004-05-19 15:30:00	:YUM	13.24	13.37	12.99	13.01	5177079.00
2004-05-20 15:30:00	:YUM	13.09	13.09	12.60	12.84	4298981.00
2004-05-21 15:30:00	:YUM	12.87	13.08	12.79	13.08	3615861.00
2004-05-24 15:30:00	:YUM	13.20	13.29	13.04	13.13	3892058.00
2004-05-25 15:30:00	:YUM	13.09	13.22	12.95	13.21	3836151.00
