datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ZION	57.26	57.82	57.18	57.64	384277.00
2004-04-08 15:30:00	:ZION	57.80	57.92	57.08	57.31	372387.00
2004-04-12 15:30:00	:ZION	57.42	57.82	57.17	57.60	321079.00
2004-04-13 15:30:00	:ZION	57.73	57.85	56.25	56.29	596843.00
2004-04-14 15:30:00	:ZION	56.05	56.17	54.78	55.26	861208.00
2004-04-15 15:30:00	:ZION	55.15	55.49	54.58	54.75	907962.00
2004-04-16 15:30:00	:ZION	54.71	55.30	54.62	54.65	766089.00
2004-04-19 15:30:00	:ZION	54.80	54.84	54.08	54.66	538088.00
2004-04-20 15:30:00	:ZION	54.78	55.66	54.43	54.55	498726.00
2004-04-21 15:30:00	:ZION	54.55	56.94	54.55	56.14	1066498.00
2004-04-22 15:30:00	:ZION	56.22	57.17	56.09	56.98	423398.00
2004-04-23 15:30:00	:ZION	56.74	57.95	56.60	57.92	573227.00
2004-04-26 15:30:00	:ZION	57.72	57.95	57.23	57.51	401613.00
2004-04-27 15:30:00	:ZION	57.35	58.45	57.22	57.36	510472.00
2004-04-28 15:30:00	:ZION	57.01	57.12	56.32	56.43	578463.00
2004-04-29 15:30:00	:ZION	56.07	57.25	55.52	55.96	552150.00
2004-04-30 15:30:00	:ZION	55.91	57.34	55.91	56.59	685282.00
2004-05-03 15:30:00	:ZION	56.43	56.96	56.39	56.94	411538.00
2004-05-04 15:30:00	:ZION	56.97	57.99	56.70	57.57	433537.00
2004-05-05 15:30:00	:ZION	57.71	58.45	57.57	57.97	553798.00
2004-05-06 15:30:00	:ZION	57.82	57.98	56.85	57.23	361741.00
2004-05-07 15:30:00	:ZION	56.93	57.50	56.01	56.04	494865.00
2004-05-10 15:30:00	:ZION	55.90	56.01	54.72	55.37	567994.00
2004-05-11 15:30:00	:ZION	55.62	56.77	55.44	56.56	563127.00
2004-05-12 15:30:00	:ZION	56.54	57.03	55.75	56.92	532512.00
2004-05-13 15:30:00	:ZION	56.90	58.11	56.59	57.62	719538.00
2004-05-14 15:30:00	:ZION	57.53	58.89	57.34	58.59	1108282.00
2004-05-17 15:30:00	:ZION	58.35	58.53	57.81	58.39	653780.00
2004-05-18 15:30:00	:ZION	58.46	59.20	58.45	59.08	731264.00
2004-05-19 15:30:00	:ZION	59.04	60.35	59.04	59.59	1094530.00
2004-05-20 15:30:00	:ZION	59.55	59.79	59.31	59.77	858259.00
2004-05-21 15:30:00	:ZION	60.20	60.40	59.63	60.38	772908.00
2004-05-24 15:30:00	:ZION	60.35	60.47	59.62	59.74	483043.00
2004-05-25 15:30:00	:ZION	59.79	60.45	59.47	60.45	563019.00
