         5406986886 function calls (5398158676 primitive calls) in 1400.685 seconds

   Ordered by: cumulative time
   List reduced from 4496 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    226/1    0.001    0.000 1400.691 1400.691 {built-in method builtins.exec}
  45146/1    0.131    0.000 1400.507 1400.507 decorator.py:229(fun)
        1    0.000    0.000 1400.507 1400.507 _common.py:7(finalize)
        1    0.036    0.036 1392.206 1392.206 strategy.py:333(screen)
        1    0.000    0.000 1048.399 1048.399 strategyXLSXWriter.py:30(write_xlsx_file)
        3    0.000    0.000 1048.399  349.466 strategyXLSXWriter.py:61(write_single_xlsx_file)
        3    0.000    0.000 1038.365  346.122 strategyXLSXWriter.py:330(write_analysis_to_xlsx)
        6    0.000    0.000 1038.064  173.011 strategyAnalysis.py:205(_yield)
        6    0.001    0.000 1038.039  173.006 strategyAnalysis.py:221(max_daily_investment)
        6    0.000    0.000 1038.038  173.006 strategyAnalysis.py:233(_date_investment_dictionary)
        6    0.188    0.031 1037.965  172.994 strategyAnalysis.py:250(<dictcomp>)
73313/14695    0.063    0.000 1035.486    0.070 generic.py:5781(pipe)
73313/14695    0.072    0.000 1035.455    0.070 common.py:479(pipe)
29309/14695    0.090    0.000 1034.660    0.070 _pipe.py:42(filter_date_range_decorator)
    14614    0.058    0.000 1034.251    0.071 _pipe.py:89(filter_open_on_day)
66363/56255    0.173    0.000 1030.296    0.018 common.py:57(new_method)
    14614    0.195    0.000 1029.677    0.070 _pipe.py:99(_is_open_on_day)
    29391    0.326    0.000 1026.465    0.035 series.py:6233(_cmp_method)
    30894    0.210    0.000 1020.527    0.033 array_ops.py:231(comparison_op)
    29391    0.177    0.000 1019.880    0.035 array_ops.py:60(comp_method_OBJECT_ARRAY)
    29391   42.164    0.001 1019.549    0.035 {pandas._libs.ops.scalar_compare}
 35894000  146.083    0.000  977.262    0.000 _exceptions.py:30(find_stack_level)
251258000  278.916    0.000  663.802    0.000 inspect.py:896(getfile)
        3    0.000    0.000  520.109  173.370 strategyAnalysis.py:191(predicted_yield)
        3    0.000    0.000  517.955  172.652 strategyAnalysis.py:198(real_yield)
    14658    0.024    0.000  513.353    0.035 arraylike.py:52(__le__)
21760/18209    0.044    0.000  513.322    0.028 arraylike.py:60(__ge__)
      503    0.039    0.000  190.570    0.379 strategy.py:362(populate_pricing_data)
      503    2.584    0.005  152.419    0.303 strategy.py:403(_screen_single_ticker)
  2877420    3.164    0.000  115.138    0.000 indexing.py:1059(__getitem__)
1927590421/1925891191  104.393    0.000  113.853    0.000 {built-in method builtins.isinstance}
      503    0.007    0.000  109.679    0.218 _common.py:55(get_daily_candle_range)
 2016/503    0.121    0.000  109.434    0.218 utils.py:98(wrapper)
      503    0.299    0.001  109.304    0.217 base.py:84(history)
  2844690    6.370    0.000  103.888    0.000 indexing.py:1592(_getitem_axis)
   254425    0.250    0.000   97.144    0.000 strategy.py:425(<listcomp>)
   508850    0.859    0.000   96.893    0.000 _base.py:36(evaluate_rules)
      503    0.011    0.000   94.268    0.187 data.py:332(get)
      507    0.004    0.000   94.134    0.186 sessions.py:593(get)
      507    0.008    0.000   94.130    0.186 sessions.py:502(request)
  508/507    0.013    0.000   93.047    0.184 sessions.py:673(send)
    12875    0.028    0.000   90.721    0.007 socket.py:692(readinto)
    12875    0.040    0.000   90.676    0.007 ssl.py:1299(recv_into)
    12875    0.018    0.000   90.633    0.007 ssl.py:1157(read)
    12875   90.614    0.007   90.614    0.007 {method 'read' of '_ssl._SSLSocket' objects}
   835742    3.035    0.000   75.540    0.000 frame.py:3703(_ixs)
      503    0.054    0.000   74.883    0.149 fibStrategy.py:22(calculate_indicators)
      503    0.003    0.000   74.764    0.149 frame.py:9411(apply)
      503    0.524    0.001   74.756    0.149 apply.py:731(apply)
      501    0.003    0.000   74.229    0.148 apply.py:890(apply_standard)
    12212    0.013    0.000   63.618    0.005 {method 'readline' of '_io.BufferedReader' objects}
      508    0.009    0.000   60.974    0.120 adapters.py:434(send)
      508    0.014    0.000   60.763    0.120 connectionpool.py:534(urlopen)
      508    0.012    0.000   60.576    0.119 connectionpool.py:379(_make_request)
      508    0.003    0.000   59.622    0.117 client.py:1346(getresponse)
      508    0.010    0.000   59.607    0.117 client.py:318(begin)
      508    0.010    0.000   59.435    0.117 client.py:285(_read_status)
251258000   43.057    0.000   57.052    0.000 inspect.py:283(ismodule)
251263581   43.206    0.000   56.397    0.000 inspect.py:292(isclass)
251258300   43.039    0.000   56.116    0.000 inspect.py:300(ismethod)
      501    0.579    0.001   54.812    0.109 apply.py:896(apply_series_generator)
251258502   41.856    0.000   54.780    0.000 inspect.py:378(isfunction)
 35894609   34.358    0.000   54.447    0.000 <frozen posixpath>:150(dirname)
251258000   43.953    0.000   54.275    0.000 inspect.py:480(iscode)
251258000   40.983    0.000   53.864    0.000 inspect.py:456(istraceback)
251258000   40.701    0.000   52.406    0.000 inspect.py:466(isframe)
