         5404677066 function calls (5396010005 primitive calls) in 1430.985 seconds

   Ordered by: cumulative time
   List reduced from 4492 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    225/1    0.001    0.000 1430.992 1430.992 {built-in method builtins.exec}
  15684/1    0.037    0.000 1430.615 1430.615 decorator.py:229(fun)
        1    0.000    0.000 1430.615 1430.615 _common.py:7(finalize)
        1    0.037    0.037 1430.615 1430.615 strategy.py:333(screen)
        1    0.000    0.000 1081.355 1081.355 strategyXLSXWriter.py:30(write_xlsx_file)
        3    0.000    0.000 1081.355  360.452 strategyXLSXWriter.py:61(write_single_xlsx_file)
        3    0.001    0.000 1070.610  356.870 strategyXLSXWriter.py:330(write_analysis_to_xlsx)
        6    0.000    0.000 1070.279  178.380 strategyAnalysis.py:203(_yield)
        6    0.001    0.000 1070.251  178.375 strategyAnalysis.py:217(max_daily_investment)
        6    0.000    0.000 1070.250  178.375 strategyAnalysis.py:229(_date_investment_dictionary)
        6    0.187    0.031 1070.176  178.363 strategyAnalysis.py:243(<dictcomp>)
14875/14755    0.031    0.000 1067.607    0.072 generic.py:5781(pipe)
14875/14755    0.029    0.000 1067.576    0.072 common.py:479(pipe)
    14614    0.060    0.000 1067.239    0.073 _pipe.py:59(filter_open_on_day)
66363/56255    0.170    0.000 1063.860    0.019 common.py:57(new_method)
    14614    0.159    0.000 1063.085    0.073 _pipe.py:65(_is_open_on_day)
    29391    0.313    0.000 1059.771    0.036 series.py:6233(_cmp_method)
    30894    0.211    0.000 1054.057    0.034 array_ops.py:231(comparison_op)
    29391    0.158    0.000 1053.406    0.036 array_ops.py:60(comp_method_OBJECT_ARRAY)
    29391   42.581    0.001 1053.102    0.036 {pandas._libs.ops.scalar_compare}
 35894000  152.405    0.000 1010.390    0.000 _exceptions.py:30(find_stack_level)
251258000  287.065    0.000  681.801    0.000 inspect.py:896(getfile)
        3    0.000    0.000  540.825  180.275 strategyAnalysis.py:189(predicted_yield)
21760/18209    0.042    0.000  530.177    0.029 arraylike.py:60(__ge__)
    14658    0.028    0.000  529.812    0.036 arraylike.py:52(__le__)
        3    0.000    0.000  529.454  176.485 strategyAnalysis.py:196(real_yield)
      503    0.041    0.000  192.670    0.383 strategy.py:362(populate_pricing_data)
      503    2.574    0.005  155.770    0.310 strategy.py:403(_screen_single_ticker)
1927532233/1925833001  117.624    0.000  127.026    0.000 {built-in method builtins.isinstance}
  2877420    3.079    0.000  117.526    0.000 indexing.py:1059(__getitem__)
      503    0.006    0.000  111.198    0.221 _common.py:55(get_daily_candle_range)
 2016/503    0.113    0.000  110.945    0.221 utils.py:98(wrapper)
      503    0.317    0.001  110.824    0.220 base.py:84(history)
  2844690    6.412    0.000  105.987    0.000 indexing.py:1592(_getitem_axis)
   254425    0.253    0.000   98.753    0.000 strategy.py:425(<listcomp>)
   508850    0.839    0.000   98.500    0.000 _base.py:36(evaluate_rules)
      503    0.011    0.000   94.416    0.188 data.py:332(get)
      507    0.004    0.000   94.232    0.186 sessions.py:593(get)
      507    0.007    0.000   94.228    0.186 sessions.py:502(request)
  508/507    0.013    0.000   93.123    0.184 sessions.py:673(send)
    13666    0.031    0.000   90.936    0.007 socket.py:692(readinto)
    13666    0.044    0.000   90.887    0.007 ssl.py:1299(recv_into)
    13666    0.019    0.000   90.838    0.007 ssl.py:1157(read)
    13666   90.818    0.007   90.818    0.007 {method 'read' of '_ssl._SSLSocket' objects}
   835742    2.967    0.000   77.334    0.000 frame.py:3703(_ixs)
      503    0.058    0.000   75.480    0.150 fibStrategy.py:22(calculate_indicators)
      503    0.004    0.000   75.347    0.150 frame.py:9411(apply)
      503    0.518    0.001   75.338    0.150 apply.py:731(apply)
      501    0.003    0.000   74.816    0.149 apply.py:890(apply_standard)
    12211    0.013    0.000   62.976    0.005 {method 'readline' of '_io.BufferedReader' objects}
251258000   45.793    0.000   62.173    0.000 inspect.py:283(ismodule)
      508    0.009    0.000   60.234    0.119 adapters.py:434(send)
      508    0.015    0.000   60.013    0.118 connectionpool.py:534(urlopen)
      508    0.013    0.000   59.817    0.118 connectionpool.py:379(_make_request)
      508    0.004    0.000   59.080    0.116 client.py:1346(getresponse)
      508    0.011    0.000   59.064    0.116 client.py:318(begin)
      508    0.010    0.000   58.883    0.116 client.py:285(_read_status)
 35894609   36.126    0.000   57.320    0.000 <frozen posixpath>:150(dirname)
251258002   42.458    0.000   56.783    0.000 inspect.py:300(ismethod)
251263580   41.883    0.000   56.421    0.000 inspect.py:292(isclass)
251258000   42.681    0.000   55.770    0.000 inspect.py:466(isframe)
      501    0.587    0.001   55.376    0.111 apply.py:896(apply_series_generator)
251258010   40.945    0.000   55.195    0.000 inspect.py:378(isfunction)
251258000   40.427    0.000   54.512    0.000 inspect.py:456(istraceback)
251258000   40.423    0.000   53.885    0.000 inspect.py:480(iscode)
 35894761   35.165    0.000   53.479    0.000 <frozen posixpath>:71(join)
502774353   51.682    0.000   51.682    0.000 {method 'startswith' of 'str' objects}
   508850    1.085    0.000   50.262    0.000 _base.py:51(_evaluate_bullish_rules)
   842545    7.369    0.000   49.367    0.000 managers.py:1078(fast_xs)
   508850    0.869    0.000   47.344    0.000 _base.py:58(_evaluate_bearish_rules)
1845680/1842604    4.531    0.000   44.506    0.000 series.py:342(__init__)
   302879    0.436    0.000   40.589    0.000 fibStrategy.py:23(apply_candle_body_outside_range)
   254425    1.047    0.000   35.579    0.000 movingAverageStrategy.py:57(_bearish_candle_rule)
   254425    1.073    0.000   35.571    0.000 movingAverageStrategy.py:52(_bullish_candle_rule)
     2524    0.004    0.000   32.851    0.013 models.py:887(content)
     5591    0.026    0.000   32.848    0.006 {method 'join' of 'bytes' objects}
